Name,Team,Salary
Kobe Bryant,Los Angeles Lakers,"$30,453,805"
Dirk Nowitzki,Dallas Mavericks,"$20,907,128"
Amar'e Stoudemire,New York Knicks,"$19,948,799"
Joe Johnson,Brooklyn Nets,"$19,752,645"
Carmelo Anthony,New York Knicks,"$19,444,503"
Pau Gasol,Los Angeles Lakers,"$19,285,850"
Chris Bosh,Miami Heat,"$19,067,500"
LeBron James,Miami Heat,"$19,067,500"
Dwyane Wade,Miami Heat,"$18,673,000"
Chris Paul,LA Clippers,"$18,668,431"
Kevin Durant,Oklahoma City Thunder,"$17,832,626"
Derrick Rose,Chicago Bulls,"$17,632,688"
Deron Williams,Brooklyn Nets,"$17,177,795"
Andrew Bynum,Philadelphia 76ers,"$16,889,000"
Paul Pierce,Boston Celtics,"$16,790,345"
Zach Randolph,Memphis Grizzlies,"$16,500,000"
Rudy Gay,Toronto Raptors,"$16,460,538"
Carlos Boozer,Chicago Bulls,"$15,300,000"
Andre Iguodala,Denver Nuggets,"$14,968,250"
Russell Westbrook,Oklahoma City Thunder,"$14,693,906"
Emeka Okafor,Washington Wizards,"$14,487,500"
Luol Deng,Chicago Bulls,"$14,275,000"
Manu Ginobili,San Antonio Spurs,"$14,107,492"
Marc Gasol,Memphis Grizzlies,"$13,891,359"
Blake Griffin,LA Clippers,"$13,701,250"
Eric Gordon,New Orleans Hornets,"$13,668,750"
Brook Lopez,Brooklyn Nets,"$13,668,750"
Kevin Love,Minnesota Timberwolves,"$13,668,750"
Roy Hibbert,Indiana Pacers,"$13,668,750"
Tyson Chandler,New York Knicks,"$13,604,188"
LaMarcus Aldridge,Portland Trail Blazers,"$13,500,000"
Al Jefferson,Utah Jazz,"$13,500,000"
Ben Gordon,Charlotte Bobcats,"$13,200,000"
Josh Smith,Atlanta Hawks,"$13,200,000"
Danny Granger,Indiana Pacers,"$13,058,606"
Andrew Bogut,Golden State Warriors,"$13,000,000"
Nene Hilario,Washington Wizards,"$13,000,000"
David Lee,Golden State Warriors,"$12,744,000"
Tony Parker,San Antonio Spurs,"$12,500,000"
Kevin Martin,Oklahoma City Thunder,"$12,439,675"
Serge Ibaka,Oklahoma City Thunder,"$12,350,000"
Kris Humphries,Brooklyn Nets,"$12,000,000"
Hedo Turkoglu,Orlando Magic,"$12,000,000"
Al Horford,Atlanta Hawks,"$12,000,000"
Kevin Garnett,Boston Celtics,"$11,566,265"
Joakim Noah,Chicago Bulls,"$11,100,000"
Jose Calderon,Detroit Pistons,"$11,046,591"
Monta Ellis,Milwaukee Bucks,"$11,000,000"
Rajon Rondo,Boston Celtics,"$11,000,000"
DeAndre Jordan,LA Clippers,"$10,986,550"
Corey Maggette,Detroit Pistons,"$10,924,138"
Mehmet Okur,Brooklyn Nets,"$10,890,000"
Nicolas Batum,Portland Trail Blazers,"$10,850,000"
Richard Jefferson,Golden State Warriors,"$10,164,000"
Stephen Jackson,San Antonio Spurs,"$10,059,750"
JaVale McGee,Denver Nuggets,"$10,000,000"
Andrea Bargnani,Toronto Raptors,"$10,000,000"
David West,Indiana Pacers,"$10,000,000"
Andrei Kirilenko,Minnesota Timberwolves,"$9,779,349"
Gerald Wallace,Brooklyn Nets,"$9,682,435"
Tim Duncan,San Antonio Spurs,"$9,638,554"
Cuttino Mobley,LA Clippers,"$9,500,000"
Danilo Gallinari,Denver Nuggets,"$9,439,000"
Steve Nash,Los Angeles Lakers,"$9,300,500"
Andris Biedrins,Golden State Warriors,"$9,000,000"
Ryan Anderson,New Orleans Hornets,"$8,700,000"
Shawn Marion,Dallas Mavericks,"$8,646,364"
Paul Millsap,Utah Jazz,"$8,603,633"
Jameer Nelson,Orlando Magic,"$8,600,000"
Rodney Stuckey,Detroit Pistons,"$8,500,000"
Mo Williams,Utah Jazz,"$8,500,000"
Devin Harris,Atlanta Hawks,"$8,500,000"
Kendrick Perkins,Oklahoma City Thunder,"$8,477,437"
Jeff Green,Boston Celtics,"$8,385,000"
Jeremy Lin,Houston Rockets,"$8,374,646"
Omer Asik,Houston Rockets,"$8,374,646"
Anderson Varejao,Cleveland Cavaliers,"$8,368,182"
Thaddeus Young,Philadelphia 76ers,"$8,289,130"
Marvin Williams,Utah Jazz,"$8,287,500"
John Salmons,Sacramento Kings,"$8,083,000"
Charlie Villanueva,Detroit Pistons,"$8,060,000"
Tyrus Thomas,Charlotte Bobcats,"$8,000,000"
Caron Butler,LA Clippers,"$8,000,000"
Chris Kaman,Dallas Mavericks,"$8,000,000"
George Hill,Indiana Pacers,"$8,000,000"
Mark Blount,Miami Heat,"$7,967,375"
Ersan Ilyasova,Milwaukee Bucks,"$7,900,000"
Arron Afflalo,Orlando Magic,"$7,750,000"
Metta World Peace,Los Angeles Lakers,"$7,727,500"
Trevor Ariza,Washington Wizards,"$7,727,280"
Marcin Gortat,Phoenix Suns,"$7,727,280"
James Posey,Indiana Pacers,"$7,595,600"
Marcus Thornton,Sacramento Kings,"$7,525,000"
Mike Conley,Memphis Grizzlies,"$7,505,786"
Goran Dragic,Phoenix Suns,"$7,500,000"
John Wall,Washington Wizards,"$7,459,925"
Taj Gibson,Chicago Bulls,"$7,415,730"
Beno Udrih,Orlando Magic,"$7,372,000"
Al Harrington,Orlando Magic,"$7,148,600"
Tayshaun Prince,Memphis Grizzlies,"$6,764,045"
JJ Redick,Milwaukee Bucks,"$6,750,000"
Samuel Dalembert,Milwaukee Bucks,"$6,698,565"
Drew Gooden,Milwaukee Bucks,"$6,687,400"
Morris Peterson,Oklahoma City Thunder,"$6,665,000"
Andres Nocioni,Madrid Real Madrid,"$6,650,000"
Jerome James,Chicago Bulls,"$6,600,000"
Wesley Matthews,Portland Trail Blazers,"$6,505,320"
Spencer Hawes,Philadelphia 76ers,"$6,500,000"
Glen Davis,Orlando Magic,"$6,400,000"
Channing Frye,Phoenix Suns,"$6,400,000"
Landry Fields,Toronto Raptors,"$6,250,000"
Mike Miller,Miami Heat,"$6,200,000"
Francisco Garcia,Houston Rockets,"$6,100,000"
Luke Walton,Cleveland Cavaliers,"$6,091,363"
Amir Johnson,Toronto Raptors,"$6,050,000"
Michael Beasley,Phoenix Suns,"$6,000,000"
Brandon Bass,Boston Celtics,"$6,000,000"
Wilson Chandler,Denver Nuggets,"$5,930,414"
James Harden,Houston Rockets,"$5,820,417"
Jason Richardson,Philadelphia 76ers,"$5,799,625"
Kyle Lowry,Toronto Raptors,"$5,750,000"
Nick Young,Philadelphia 76ers,"$5,600,000"
Chuck Hayes,Sacramento Kings,"$5,486,250"
Sasha Vujacic,New York Knicks,"$5,475,113"
Jarrett Jack,Golden State Warriors,"$5,400,000"
Kyrie Irving,Cleveland Cavaliers,"$5,375,760"
Evan Turner,Philadelphia 76ers,"$5,293,080"
Tyreke Evans,Sacramento Kings,"$5,250,825"
Jason Thompson,Sacramento Kings,"$5,250,000"
Zaza Pachulia,Atlanta Hawks,"$5,248,750"
Jamal Crawford,LA Clippers,"$5,225,000"
Antonio McDyess,San Antonio Spurs,"$5,220,000"
Speedy Claxton,Atlanta Hawks,"$5,209,454"
Martell Webster,Washington Wizards,"$5,150,000"
Anthony Davis,New Orleans Hornets,"$5,144,280"
Brad Miller,New Orleans Pelicans,"$5,104,000"
Brandon Roy,Minnesota Timberwolves,"$5,100,000"
Jason Maxiell,Detroit Pistons,"$5,000,000"
Ramon Sessions,Charlotte Bobcats,"$5,000,000"
Andre Miller,Denver Nuggets,"$5,000,000"
Kyle Korver,Atlanta Hawks,"$5,000,000"
Jason Terry,Boston Celtics,"$5,000,000"
Courtney Lee,Boston Celtics,"$5,000,000"
Richard Hamilton,Chicago Bulls,"$5,000,000"
Lou Williams,Atlanta Hawks,"$5,000,000"
Robin Lopez,New Orleans Hornets,"$4,899,293"
Marcus Banks,New Orleans Pelicans,"$4,847,586"
Nikola Pekovic,Minnesota Timberwolves,"$4,837,200"
Darius Songaila,Philadelphia 76ers,"$4,818,000"
Michael Kidd-Gilchrist,Charlotte Bobcats,"$4,809,840"
Derrick Williams,Minnesota Timberwolves,"$4,809,840"
Luc Mbah a Moute,Milwaukee Bucks,"$4,794,192"
Daniel Gibson,Cleveland Cavaliers,"$4,792,332"
Victor Oladipo,Memphis Grizzlies,"$4,763,760"
Derrick Favors,Utah Jazz,"$4,753,320"
Linas Kleiza,Toronto Raptors,"$4,600,000"
Marcus Camby,New York Knicks,"$4,590,338"
Luis Scola,Phoenix Suns,"$4,508,504"
Boris Diaw,San Antonio Spurs,"$4,500,000"
Jonas Jerebko,Detroit Pistons,"$4,500,000"
J.J. Barea,Minnesota Timberwolves,"$4,493,500"
Udonis Haslem,Miami Heat,"$4,340,000"
Bradley Beal,Washington Wizards,"$4,319,280"
Enes Freedom,Utah Jazz,"$4,319,280"
Wesley Johnson,Phoenix Suns,"$4,285,560"
Otto Porter Jr.,Utah Jazz,"$4,278,000"
Jordan Farmar,Sacramento Kings,"$4,250,000"
Jared Dudley,Phoenix Suns,"$4,250,000"
Marreese Speights,Cleveland Cavaliers,"$4,200,000"
Dorell Wright,Philadelphia 76ers,"$4,106,000"
Bruce Bowen,San Antonio Spurs,"$4,100,000"
Charlie Bell,Golden State Warriors,"$4,099,920"
Greg Buckner,Memphis Grizzlies,"$4,080,915"
Kirk Hinrich,Chicago Bulls,"$4,059,000"
Steve Novak,New York Knicks,"$4,054,055"
O.J. Mayo,Dallas Mavericks,"$4,020,000"
Luke Ridnour,Minnesota Timberwolves,"$4,000,000"
JJ Hickson,Portland Trail Blazers,"$4,000,000"
Ian Mahinmi,Indiana Pacers,"$4,000,000"
Anthony Morrow,Dallas Mavericks,"$4,000,000"
Carl Landry,Golden State Warriors,"$4,000,000"
Hakim Warrick,Charlotte Bobcats,"$4,000,000"
Mario Chalmers,Miami Heat,"$4,000,000"
Steve Blake,Los Angeles Lakers,"$4,000,000"
Ryan Gomes,Boston Celtics,"$4,000,000"
Stephen Curry,Golden State Warriors,"$3,958,742"
Tiago Splitter,San Antonio Spurs,"$3,944,000"
Thabo Sefolosha,Oklahoma City Thunder,"$3,900,000"
Tristan Thompson,Cleveland Cavaliers,"$3,894,240"
DeMarcus Cousins,Sacramento Kings,"$3,880,800"
Cody Zeller,New Orleans Pelicans,"$3,857,040"
Ricky Rubio,Minnesota Timberwolves,"$3,741,120"
Dion Waiters,Cleveland Cavaliers,"$3,726,600"
Matt Bonner,San Antonio Spurs,"$3,630,000"
Jordan Hill,Los Angeles Lakers,"$3,563,600"
Ekpe Udoh,Milwaukee Bucks,"$3,524,880"
Danny Green,San Antonio Spurs,"$3,500,000"
Shannon Brown,Phoenix Suns,"$3,500,000"
Chris Duhon,Los Angeles Lakers,"$3,500,000"
D.J. Augustin,Indiana Pacers,"$3,500,000"
Gerald Green,Indiana Pacers,"$3,500,000"
Alonzo Gee,Cleveland Cavaliers,"$3,500,000"
Matt Carroll,New Orleans Hornets,"$3,500,000"
Johan Petro,Atlanta Hawks,"$3,500,000"
Raymond Felton,New York Knicks,"$3,480,453"
Raja Bell,Utah Jazz,"$3,480,000"
Jonas Valanciunas,Toronto Raptors,"$3,374,640"
Thomas Robinson,Houston Rockets,"$3,374,640"
DeMar DeRozan,Toronto Raptors,"$3,344,250"
Jan Vesely,Washington Wizards,"$3,340,920"
