Name,Team,Salary
Kobe Bryant,Los Angeles Lakers,"$30,453,805"
Dirk Nowitzki,Dallas Mavericks,"$22,721,381"
Amar'e Stoudemire,New York Knicks,"$21,679,893"
Joe Johnson,Brooklyn Nets,"$21,466,718"
Carmelo Anthony,New York Knicks,"$21,388,953"
Dwight Howard,Houston Rockets,"$20,513,178"
Pau Gasol,Los Angeles Lakers,"$19,285,850"
Chris Bosh,Miami Heat,"$19,067,500"
LeBron James,Miami Heat,"$19,067,500"
Dwyane Wade,Miami Heat,"$18,673,000"
Chris Paul,LA Clippers,"$18,668,431"
Deron Williams,Brooklyn Nets,"$18,466,130"
Zach Randolph,Memphis Grizzlies,"$18,238,333"
Rudy Gay,Sacramento Kings,"$17,888,932"
Kevin Durant,Oklahoma City Thunder,"$17,832,627"
Derrick Rose,Chicago Bulls,"$17,632,688"
Blake Griffin,LA Clippers,"$16,441,500"
Paul Pierce,Brooklyn Nets,"$15,333,334"
Carlos Boozer,Chicago Bulls,"$15,300,000"
LaMarcus Aldridge,Portland Trail Blazers,"$14,878,000"
Marc Gasol,Memphis Grizzlies,"$14,860,523"
Brook Lopez,Brooklyn Nets,"$14,693,906"
Kevin Love,Minnesota Timberwolves,"$14,693,906"
Russell Westbrook,Oklahoma City Thunder,"$14,693,906"
Emeka Okafor,Philadelphia 76ers,"$14,487,500"
Eric Gordon,New Orleans Pelicans,"$14,283,844"
Roy Hibbert,Indiana Pacers,"$14,283,844"
Luol Deng,Cleveland Cavaliers,"$14,275,000"
Tyson Chandler,New York Knicks,"$14,100,538"
Andrew Bogut,Golden State Warriors,"$14,000,000"
David Lee,Golden State Warriors,"$13,878,000"
James Harden,Houston Rockets,"$13,701,250"
Al Jefferson,Charlotte Bobcats,"$13,500,000"
Josh Smith,Detroit Pistons,"$13,500,000"
Nene Hilario,Washington Wizards,"$13,000,000"
Andre Iguodala,Golden State Warriors,"$12,868,632"
Tony Parker,San Antonio Spurs,"$12,500,000"
Kevin Garnett,Brooklyn Nets,"$12,433,735"
Serge Ibaka,Oklahoma City Thunder,"$12,350,000"
Nikola Pekovic,Minnesota Timberwolves,"$12,100,000"
Kris Humphries,Boston Celtics,"$12,000,000"
David West,Indiana Pacers,"$12,000,000"
Al Horford,Atlanta Hawks,"$12,000,000"
Rajon Rondo,Boston Celtics,"$11,954,545"
Andrea Bargnani,New York Knicks,"$11,862,500"
Tyreke Evans,New Orleans Pelicans,"$11,796,247"
Nicolas Batum,Portland Trail Blazers,"$11,295,250"
Joakim Noah,Chicago Bulls,"$11,100,000"
Richard Jefferson,Utah Jazz,"$11,046,000"
DeAndre Jordan,LA Clippers,"$10,986,550"
Ty Lawson,Denver Nuggets,"$10,786,517"
JaVale McGee,Denver Nuggets,"$10,750,000"
Tim Duncan,San Antonio Spurs,"$10,361,446"
Danilo Gallinari,Milwaukee Bucks,"$10,146,925"
Gerald Wallace,Boston Celtics,"$10,105,855"
Tiago Splitter,San Antonio Spurs,"$10,000,000"
Stephen Curry,Golden State Warriors,"$9,887,642"
Jrue Holiday,New Orleans Pelicans,"$9,713,484"
Paul Millsap,Atlanta Hawks,"$9,500,000"
DeMar DeRozan,Toronto Raptors,"$9,500,000"
Shawn Marion,Dallas Mavericks,"$9,316,796"
Steve Nash,Los Angeles Lakers,"$9,300,500"
Anderson Varejao,Cleveland Cavaliers,"$9,036,364"
Thaddeus Young,Philadelphia 76ers,"$8,850,000"
Kendrick Perkins,Oklahoma City Thunder,"$8,727,437"
Jeff Green,Boston Celtics,"$8,700,000"
Mike Conley,Memphis Grizzlies,"$8,600,001"
Charlie Villanueva,Detroit Pistons,"$8,580,000"
Rodney Stuckey,Detroit Pistons,"$8,500,000"
Jeremy Lin,Houston Rockets,"$8,374,646"
Omer Asik,Houston Rockets,"$8,374,646"
Ryan Anderson,New Orleans Pelicans,"$8,308,500"
Marcus Thornton,Brooklyn Nets,"$8,050,000"
Jeff Teague,Atlanta Hawks,"$8,000,000"
O.J. Mayo,Milwaukee Bucks,"$8,000,000"
George Hill,Indiana Pacers,"$8,000,000"
Monta Ellis,Dallas Mavericks,"$8,000,000"
Ersan Ilyasova,Milwaukee Bucks,"$7,900,000"
Trevor Ariza,Washington Wizards,"$7,727,280"
Marcin Gortat,Washington Wizards,"$7,727,280"
Brandon Jennings,Detroit Pistons,"$7,655,503"
John Salmons,Toronto Raptors,"$7,583,000"
Taj Gibson,Chicago Bulls,"$7,550,000"
Manu Ginobili,San Antonio Spurs,"$7,500,000"
Arron Afflalo,Orlando Magic,"$7,500,000"
Goran Dragic,Phoenix Suns,"$7,500,000"
Marvin Williams,Utah Jazz,"$7,500,000"
John Wall,Washington Wizards,"$7,459,925"
Tayshaun Prince,Memphis Grizzlies,"$7,235,955"
Wesley Matthews,Portland Trail Blazers,"$6,875,480"
Jose Calderon,Dallas Mavericks,"$6,791,570"
Kyle Korver,Atlanta Hawks,"$6,760,563"
Evan Turner,Indiana Pacers,"$6,679,867"
Kevin Martin,Minnesota Timberwolves,"$6,500,000"
Carl Landry,Sacramento Kings,"$6,500,000"
Amir Johnson,Toronto Raptors,"$6,500,000"
Spencer Hawes,Cleveland Cavaliers,"$6,500,000"
JJ Redick,LA Clippers,"$6,500,000"
Brandon Bass,Boston Celtics,"$6,450,000"
Channing Frye,Phoenix Suns,"$6,400,000"
Wilson Chandler,Denver Nuggets,"$6,344,164"
