Name,Team,Salary
Shaquille O'Neal,Miami Heat,"$29,464,000"
Dikembe Mutombo,Houston Rockets,"$19,684,000"
Allan Houston,New York Knicks,"$17,531,000"
Chris Webber,Philadelphia 76ers,"$17,351,000"
Damon Stoudamire,Portland Trail Blazers,"$15,750,000"
Antoine Walker,Boston Celtics,"$14,625,000"
Shareef Abdur-Rahim,Portland Trail Blazers,"$14,625,000"
Allen Iverson,Philadelphia 76ers,"$14,625,000"
Latrell Sprewell,Minnesota Timberwolves,"$14,625,000"
Vin Baker,Houston Rockets,"$14,625,000"
Zydrunas Ilgauskas,Cleveland Cavaliers,"$14,625,000"
Anfernee Hardaway,New York Knicks,"$14,625,000"
Ray Allen,Seattle SuperSonics,"$14,625,000"
Kobe Bryant,Los Angeles Lakers,"$14,625,000"
Stephon Marbury,New York Knicks,"$14,625,000"
Michael Finley,Dallas Mavericks,"$14,609,000"
Tracy McGrady,Houston Rockets,"$14,487,000"
Jalen Rose,Toronto Raptors,"$14,487,000"
Keith Van Horn,Dallas Mavericks,"$14,487,000"
Grant Hill,Orlando Magic,"$14,487,000"
Eddie Jones,Miami Heat,"$13,440,000"
Brian Grant,Los Angeles Lakers,"$13,346,000"
Vince Carter,New Jersey Nets,"$13,281,000"
Tim Thomas,New York Knicks,"$12,900,000"
Antonio Davis,Chicago Bulls,"$12,000,000"
Glenn Robinson,San Antonio Spurs,"$12,000,000"
Nick Van Exel,Portland Trail Blazers,"$11,821,000"
Theo Ratliff,Portland Trail Blazers,"$10,937,000"
Kerry Kittles,LA Clippers,"$9,817,000"
Jamal Mashburn,Philadelphia 76ers,"$9,300,000"
Maurice Taylor,New York Knicks,"$8,450,000"
Derek Anderson,Portland Trail Blazers,"$8,444,000"
Alan Henderson,Dallas Mavericks,"$8,273,000"
Austin Croshere,Indiana Pacers,"$8,260,000"
Erick Dampier,Dallas Mavericks,"$8,105,000"
Kelvin Cato,Orlando Magic,"$7,992,000"
Marcus Camby,Denver Nuggets,"$7,750,000"
Shandon Anderson,Miami Heat,"$7,300,000"
Lorenzen Wright,Memphis Grizzlies,"$7,150,000"
Jerry Stackhouse,Dallas Mavericks,"$7,000,000"
Doug Christie,Orlando Magic,"$6,875,000"
