Name,Team,Salary
Kobe Bryant,Los Angeles Lakers,"$25,000,000"
LeBron James,Cleveland Cavaliers,"$22,970,500"
Carmelo Anthony,New York Knicks,"$22,875,000"
Dwight Howard,Houston Rockets,"$22,359,364"
Chris Bosh,Miami Heat,"$22,192,730"
Chris Paul,LA Clippers,"$21,468,695"
Kevin Durant,Oklahoma City Thunder,"$20,158,622"
Derrick Rose,Chicago Bulls,"$20,093,064"
Dwyane Wade,Miami Heat,"$20,000,000"
LaMarcus Aldridge,San Antonio Spurs,"$19,689,000"
Brook Lopez,Brooklyn Nets,"$19,689,000"
Kevin Love,Cleveland Cavaliers,"$19,689,000"
DeAndre Jordan,LA Clippers,"$19,689,000"
Marc Gasol,Memphis Grizzlies,"$19,688,000"
Blake Griffin,LA Clippers,"$18,907,726"
Paul Millsap,Atlanta Hawks,"$18,671,659"
Paul George,Indiana Pacers,"$17,120,106"
Russell Westbrook,Oklahoma City Thunder,"$16,744,218"
Kyrie Irving,Cleveland Cavaliers,"$16,407,501"
Greg Monroe,Milwaukee Bucks,"$16,407,500"
Jimmy Butler,Chicago Bulls,"$16,407,500"
Kawhi Leonard,San Antonio Spurs,"$16,407,500"
Enes Freedom,Oklahoma City Thunder,"$16,407,500"
Wesley Matthews,Dallas Mavericks,"$16,407,500"
Tobias Harris,Detroit Pistons,"$16,000,000"
John Wall,Washington Wizards,"$15,851,950"
DeMarcus Cousins,Sacramento Kings,"$15,851,950"
James Harden,Houston Rockets,"$15,756,438"
Roy Hibbert,Los Angeles Lakers,"$15,592,217"
Eric Gordon,New Orleans Pelicans,"$15,514,031"
Klay Thompson,Golden State Warriors,"$15,501,000"
Gordon Hayward,Utah Jazz,"$15,409,570"
Chandler Parsons,Dallas Mavericks,"$15,361,500"
Goran Dragic,Miami Heat,"$14,783,000"
Khris Middleton,Milwaukee Bucks,"$14,700,000"
Draymond Green,Golden State Warriors,"$14,260,870"
Tristan Thompson,Cleveland Cavaliers,"$14,260,870"
Danilo Gallinari,Denver Nuggets,"$14,000,000"
Reggie Jackson,Detroit Pistons,"$13,913,044"
Andrew Bogut,Golden State Warriors,"$13,800,000"
DeMarre Carroll,Toronto Raptors,"$13,600,000"
Eric Bledsoe,Phoenix Suns,"$13,500,000"
Al Jefferson,Charlotte Hornets,"$13,500,000"
Brandon Knight,Phoenix Suns,"$13,500,000"
Tony Parker,San Antonio Spurs,"$13,437,500"
Joakim Noah,Chicago Bulls,"$13,400,000"
Nicolas Batum,Charlotte Hornets,"$13,125,306"
Tyson Chandler,Phoenix Suns,"$13,000,000"
Nene Hilario,Washington Wizards,"$13,000,000"
Ricky Rubio,Minnesota Timberwolves,"$12,700,000"
Robin Lopez,New York Knicks,"$12,650,000"
Rudy Gay,Sacramento Kings,"$12,403,101"
Serge Ibaka,Oklahoma City Thunder,"$12,250,000"
Nikola Pekovic,Minnesota Timberwolves,"$12,100,000"
Kyle Lowry,Toronto Raptors,"$12,000,000"
Amir Johnson,Boston Celtics,"$12,000,000"
Kemba Walker,Charlotte Hornets,"$12,000,000"
Derrick Favors,Utah Jazz,"$12,000,000"
Al Horford,Atlanta Hawks,"$12,000,000"
Andre Iguodala,Golden State Warriors,"$11,710,456"
Stephen Curry,Golden State Warriors,"$11,370,786"
Nikola Vucevic,Orlando Magic,"$11,250,000"
Thaddeus Young,Brooklyn Nets,"$11,235,955"
Kenneth Faried,Denver Nuggets,"$11,235,955"
Marcin Gortat,Washington Wizards,"$11,217,391"
Tyreke Evans,New Orleans Pelicans,"$10,734,586"
Jrue Holiday,New Orleans Pelicans,"$10,595,507"
Brendan Haywood,Portland Trail Blazers,"$10,522,500"
Wilson Chandler,Brooklyn Nets,"$10,449,438"
Monta Ellis,Indiana Pacers,"$10,300,000"
Luol Deng,Miami Heat,"$10,151,612"
Gerald Wallace,Philadelphia 76ers,"$10,105,855"
DeMar DeRozan,Toronto Raptors,"$10,050,000"
Danny Green,San Antonio Spurs,"$10,000,000"
Tiago Splitter,Atlanta Hawks,"$9,756,250"
Jeff Green,LA Clippers,"$9,650,000"
Zach Randolph,Memphis Grizzlies,"$9,638,555"
Mike Conley,Memphis Grizzlies,"$9,588,426"
Rajon Rondo,Sacramento Kings,"$9,500,000"
Alec Burks,Utah Jazz,"$9,463,484"
Omer Asik,New Orleans Pelicans,"$9,213,483"
Lance Stephenson,Memphis Grizzlies,"$9,000,000"
Iman Shumpert,Cleveland Cavaliers,"$8,988,765"
Kevin Garnett,Minnesota Timberwolves,"$8,500,000"
Ryan Anderson,New Orleans Pelicans,"$8,500,000"
Taj Gibson,Chicago Bulls,"$8,500,000"
Brandon Jennings,Orlando Magic,"$8,344,497"
Dirk Nowitzki,Dallas Mavericks,"$8,333,334"
Corey Brewer,Houston Rockets,"$8,229,375"
Trevor Ariza,Houston Rockets,"$8,193,030"
Channing Frye,Cleveland Cavaliers,"$8,193,029"
Al-Farouq Aminu,Portland Trail Blazers,"$8,042,895"
Arron Afflalo,New York Knicks,"$8,000,000"
Jeff Teague,Atlanta Hawks,"$8,000,000"
O.J. Mayo,Milwaukee Bucks,"$8,000,000"
George Hill,Indiana Pacers,"$8,000,000"
Markieff Morris,Washington Wizards,"$8,000,000"
Ersan Ilyasova,Orlando Magic,"$7,900,000"
Avery Bradley,Boston Celtics,"$7,730,337"
Kosta Koufos,Sacramento Kings,"$7,700,000"
Boris Diaw,San Antonio Spurs,"$7,500,000"
Pau Gasol,Chicago Bulls,"$7,448,760"
Jose Calderon,New York Knicks,"$7,402,812"
