Name,Team,Salary
Kevin Garnett,Boston Celtics,"$23,751,934"
Shaquille O'Neal,Phoenix Suns,"$21,000,000"
Jason Kidd,Dallas Mavericks,"$19,728,000"
Jermaine O'Neal,Indiana Pacers,"$19,728,000"
Kobe Bryant,Los Angeles Lakers,"$19,490,625"
Tim Duncan,San Antonio Spurs,"$19,014,188"
Allen Iverson,Denver Nuggets,"$19,012,500"
Stephon Marbury,New York Knicks,"$19,012,500"
Tracy McGrady,Houston Rockets,"$18,257,750"
Baron Davis,Golden State Warriors,"$16,440,000"
Shawn Marion,Miami Heat,"$16,440,000"
Paul Pierce,Boston Celtics,"$16,360,094"
Dirk Nowitzki,Dallas Mavericks,"$16,360,094"
Antawn Jamison,Washington Wizards,"$16,360,094"
Ray Allen,Boston Celtics,"$16,000,000"
Ben Wallace,Cleveland Cavaliers,"$15,500,000"
Elton Brand,LA Clippers,"$15,344,000"
Mike Bibby,Atlanta Hawks,"$14,983,603"
Rashard Lewis,Orlando Magic,"$14,884,951"
Michael Redd,Milwaukee Bucks,"$14,520,000"
Amar'e Stoudemire,Phoenix Suns,"$13,762,775"
Yao Ming,Houston Rockets,"$13,762,775"
Pau Gasol,Los Angeles Lakers,"$13,735,000"
Andrei Kirilenko,Utah Jazz,"$13,735,000"
Joe Johnson,Atlanta Hawks,"$13,488,378"
Zach Randolph,New York Knicks,"$13,333,333"
Vince Carter,New Jersey Nets,"$13,325,000"
Kenyon Martin,Denver Nuggets,"$13,250,000"
Lamar Odom,Los Angeles Lakers,"$13,248,596"
Dwyane Wade,Miami Heat,"$13,041,250"
Chris Bosh,Toronto Raptors,"$13,041,250"
Carmelo Anthony,Denver Nuggets,"$13,041,250"
LeBron James,Cleveland Cavaliers,"$13,041,250"
Rasheed Wallace,Detroit Pistons,"$12,540,000"
Raef LaFrentz,Portland Trail Blazers,"$12,440,787"
Wally Szczerbiak,Cleveland Cavaliers,"$12,275,000"
Richard Jefferson,New Jersey Nets,"$12,200,000"
Larry Hughes,Chicago Bulls,"$12,000,084"
Gilbert Arenas,Washington Wizards,"$11,950,400"
Peja Stojakovic,New Orleans Hornets,"$11,664,000"
Carlos Boozer,Utah Jazz,"$11,593,816"
Steve Nash,Phoenix Suns,"$11,375,000"
Kirk Hinrich,Chicago Bulls,"$11,250,000"
Jason Richardson,Charlotte Bobcats,"$11,111,110"
David West,New Orleans Hornets,"$10,650,000"
Erick Dampier,Dallas Mavericks,"$10,590,500"
Tony Parker,San Antonio Spurs,"$10,500,000"
Brad Miller,Sacramento Kings,"$10,500,000"
Tyson Chandler,New Orleans Hornets,"$10,500,000"
Samuel Dalembert,Philadelphia 76ers,"$10,251,435"
Zydrunas Ilgauskas,Cleveland Cavaliers,"$10,142,156"
Marcus Camby,Denver Nuggets,"$10,000,000"
Chauncey Billups,Detroit Pistons,"$10,000,000"
Richard Hamilton,Detroit Pistons,"$10,000,000"
Andre Miller,Philadelphia 76ers,"$9,600,000"
Josh Howard,Dallas Mavericks,"$9,500,000"
Gerald Wallace,Charlotte Bobcats,"$9,500,000"
Kwame Brown,Memphis Grizzlies,"$9,379,279"
Bobby Simmons,Milwaukee Bucks,"$9,280,000"
Troy Murphy,Indiana Pacers,"$9,206,349"
Manu Ginobili,San Antonio Spurs,"$9,079,811"
Boris Diaw,Phoenix Suns,"$9,000,000"
Mehmet Okur,Utah Jazz,"$9,000,000"
Eddy Curry,New York Knicks,"$8,947,543"
Jason Williams,Miami Heat,"$8,937,500"
Jason Terry,Dallas Mavericks,"$8,898,000"
Nene Hilario,Denver Nuggets,"$8,840,000"
Tayshaun Prince,Detroit Pistons,"$8,675,620"
Chris Kaman,LA Clippers,"$8,600,000"
Andres Nocioni,Chicago Bulls,"$8,500,000"
Caron Butler,Washington Wizards,"$8,468,990"
Al Harrington,Golden State Warriors,"$8,425,625"
Mike Miller,Memphis Grizzlies,"$8,376,194"
Cuttino Mobley,LA Clippers,"$8,350,000"
Antoine Walker,Minnesota Timberwolves,"$8,329,640"
T.J. Ford,Toronto Raptors,"$8,275,000"
Darius Miles,Portland Trail Blazers,"$8,250,000"
Mike Dunleavy,Indiana Pacers,"$8,219,008"
Quentin Richardson,New York Knicks,"$8,105,500"
Kurt Thomas,San Antonio Spurs,"$8,091,188"
Jamal Crawford,New York Knicks,"$7,920,000"
Mark Blount,Miami Heat,"$7,901,040"
Kenny Thomas,Sacramento Kings,"$7,875,000"
Rasho Nesterovic,Toronto Raptors,"$7,840,000"
Mo Williams,Milwaukee Bucks,"$7,750,000"
Metta World Peace,Sacramento Kings,"$7,400,000"
Malik Rose,New York Knicks,"$7,101,250"
Corey Maggette,LA Clippers,"$7,000,000"
Aaron McKie,Memphis Grizzlies,"$7,000,000"
Ricky Davis,Miami Heat,"$6,819,000"
Jerry Stackhouse,Dallas Mavericks,"$6,750,000"
Eric Snow,Cleveland Cavaliers,"$6,703,125"
Stephen Jackson,Golden State Warriors,"$6,630,000"
Luke Ridnour,Seattle SuperSonics,"$6,500,000"
Darko Milicic,Memphis Grizzlies,"$6,500,000"
Chris Wilcox,Seattle SuperSonics,"$6,500,000"
Drew Gooden,Chicago Bulls,"$6,453,416"
Antonio McDyess,Detroit Pistons,"$6,373,900"
Marquis Daniels,Indiana Pacers,"$6,373,900"
Hedo Turkoglu,Orlando Magic,"$6,373,900"
Etan Thomas,Washington Wizards,"$6,373,900"
Speedy Claxton,Atlanta Hawks,"$6,306,182"
Jamaal Tinsley,Indiana Pacers,"$6,300,000"
Jason Collins,Memphis Grizzlies,"$6,100,000"
Dwight Howard,Orlando Magic,"$6,061,274"
Marko Jaric,Minnesota Timberwolves,"$6,050,000"
Udonis Haslem,Miami Heat,"$6,050,000"
Matt Harpring,Utah Jazz,"$6,000,000"
Shane Battier,Houston Rockets,"$5,883,600"
Brian Cardinal,Memphis Grizzlies,"$5,850,000"
Mike James,New Orleans Hornets,"$5,826,893"
Shareef Abdur-Rahim,Sacramento Kings,"$5,800,000"
Earl Watson,Seattle SuperSonics,"$5,800,000"
Stromile Swift,New Jersey Nets,"$5,800,000"
Antonio Daniels,Washington Wizards,"$5,800,000"
Jerome James,New York Knicks,"$5,800,000"
Joel Przybilla,Portland Trail Blazers,"$5,762,575"
Dan Gadzuric,Milwaukee Bucks,"$5,751,130"
