Name,Team,Salary
Kevin Garnett,Minnesota Timberwolves,"$25,200,000"
Shaquille O'Neal,Los Angeles Lakers,"$23,571,000"
Shawn Kemp,Orlando Magic,"$21,500,000"
Juwan Howard,Denver Nuggets,"$20,625,000"
Scottie Pippen,Portland Trail Blazers,"$19,727,000"
Karl Malone,Utah Jazz,"$19,250,000"
Rasheed Wallace,Portland Trail Blazers,"$16,200,000"
Dikembe Mutombo,New Jersey Nets,"$16,105,000"
Chris Webber,Sacramento Kings,"$14,343,000"
Damon Stoudamire,Portland Trail Blazers,"$13,500,000"
Gary Payton,Milwaukee Bucks,"$13,080,000"
Antoine Walker,Boston Celtics,"$12,375,000"
Shareef Abdur-Rahim,Atlanta Hawks,"$12,375,000"
Allen Iverson,Philadelphia 76ers,"$12,375,000"
Latrell Sprewell,New York Knicks,"$12,375,000"
Vin Baker,Boston Celtics,"$12,375,000"
Zydrunas Ilgauskas,Cleveland Cavaliers,"$12,375,000"
Anfernee Hardaway,Phoenix Suns,"$12,375,000"
Ray Allen,Seattle SuperSonics,"$12,375,000"
Kobe Bryant,Los Angeles Lakers,"$12,375,000"
Stephon Marbury,Phoenix Suns,"$12,375,000"
Tracy McGrady,Orlando Magic,"$12,072,000"
Tim Duncan,San Antonio Spurs,"$12,072,000"
Jalen Rose,Chicago Bulls,"$12,072,000"
Keith Van Horn,Philadelphia 76ers,"$12,072,000"
Grant Hill,Orlando Magic,"$12,072,000"
Reggie Miller,Indiana Pacers,"$12,046,000"
Antonio Davis,Toronto Raptors,"$12,000,000"
Michael Finley,Dallas Mavericks,"$11,953,000"
Vlade Divac,Sacramento Kings,"$11,248,000"
Eddie Jones,Miami Heat,"$11,200,000"
Brian Grant,Miami Heat,"$11,121,000"
Allan Houston,New York Knicks,"$11,000,000"
Tom Gugliotta,Phoenix Suns,"$10,890,000"
Tim Thomas,Milwaukee Bucks,"$10,750,000"
Vince Carter,Toronto Raptors,"$10,625,000"
David Robinson,San Antonio Spurs,"$10,500,000"
Nick Van Exel,Dallas Mavericks,"$10,003,000"
Steve Smith,San Antonio Spurs,"$9,900,000"
Glenn Robinson,Atlanta Hawks,"$9,860,000"
Derrick Coleman,Philadelphia 76ers,"$9,830,000"
Theo Ratliff,Atlanta Hawks,"$9,375,000"
Jason Kidd,New Jersey Nets,"$9,260,000"
Glen Rice,Houston Rockets,"$9,200,000"
Kenny Anderson,New Orleans Hornets,"$9,185,000"
John Stockton,Utah Jazz,"$9,000,000"
Kerry Kittles,New Jersey Nets,"$8,717,000"
Clifford Robinson,Detroit Pistons,"$8,421,000"
Toni Kukoc,Milwaukee Bucks,"$8,050,000"
Dale Davis,Portland Trail Blazers,"$8,000,000"
Elden Campbell,Seattle SuperSonics,"$7,975,000"
Greg Ostertag,Utah Jazz,"$7,799,000"
Jamal Mashburn,New Orleans Hornets,"$7,750,000"
Maurice Taylor,Houston Rockets,"$7,150,000"
Derek Anderson,Portland Trail Blazers,"$7,145,000"
Donyell Marshall,Chicago Bulls,"$7,140,000"
Alan Henderson,Atlanta Hawks,"$7,091,000"
P.J. Brown,New Orleans Hornets,"$7,044,000"
Wesley Person,Memphis Grizzlies,"$7,000,000"
Austin Croshere,Indiana Pacers,"$6,960,000"
Jermaine O'Neal,Indiana Pacers,"$6,950,000"
Erick Dampier,Golden State Warriors,"$6,858,000"
Marcus Camby,Denver Nuggets,"$6,750,000"
Kelvin Cato,Houston Rockets,"$6,696,000"
Ron Mercer,Indiana Pacers,"$6,618,000"
Tyrone Hill,Philadelphia 76ers,"$6,600,000"
Bo Outlaw,Phoenix Suns,"$6,555,000"
Shandon Anderson,New York Knicks,"$6,100,000"
Michael Olowokandi,LA Clippers,"$6,061,000"
Lorenzen Wright,Memphis Grizzlies,"$6,050,000"
Jerry Stackhouse,Washington Wizards,"$6,000,000"
Chris Mills,Golden State Warriors,"$6,000,000"
Steve Nash,Dallas Mavericks,"$5,750,000"
Charlie Ward,New York Knicks,"$5,750,000"
Eddie Robinson,Chicago Bulls,"$5,726,000"
Doug Christie,Sacramento Kings,"$5,625,000"
Peja Stojakovic,Sacramento Kings,"$5,625,000"
Tariq Abdul-Wahad,Dallas Mavericks,"$5,625,000"
Bob Sura,Golden State Warriors,"$5,540,000"
Mike Bibby,Sacramento Kings,"$5,448,000"
Alvin Williams,Toronto Raptors,"$5,350,000"
Howard Eisley,New York Knicks,"$5,312,000"
Robert Horry,Los Angeles Lakers,"$5,300,000"
Jerome Williams,Toronto Raptors,"$5,250,000"
Jason Caffey,Milwaukee Bucks,"$5,250,000"
Vitaly Potapenko,Seattle SuperSonics,"$5,238,000"
Nazr Mohammed,Atlanta Hawks,"$5,130,000"
Brevin Knight,Memphis Grizzlies,"$5,062,000"
Brent Barry,Seattle SuperSonics,"$5,040,000"
Eric Williams,Boston Celtics,"$5,004,000"
Ben Wallace,Detroit Pistons,"$5,000,000"
Calvin Booth,Seattle SuperSonics,"$4,992,000"
Anthony Mason,Milwaukee Bucks,"$4,992,000"
Ruben Patterson,Portland Trail Blazers,"$4,992,000"
Todd MacCulloch,Philadelphia 76ers,"$4,991,000"
Joe Smith,Minnesota Timberwolves,"$4,991,000"
Clarence Weatherspoon,New York Knicks,"$4,991,000"
Avery Johnson,Dallas Mavericks,"$4,991,000"
Christian Laettner,Washington Wizards,"$4,973,000"
Danny Fortson,Golden State Warriors,"$4,935,000"
Raef LaFrentz,Dallas Mavericks,"$4,926,000"
Kurt Thomas,New York Knicks,"$4,904,000"
Jahidi White,Washington Wizards,"$4,903,000"
Cuttino Mobley,Houston Rockets,"$4,903,000"
Rashard Lewis,Seattle SuperSonics,"$4,903,000"
Elton Brand,LA Clippers,"$4,895,000"
Scot Pollard,Sacramento Kings,"$4,827,000"
Brad Miller,Indiana Pacers,"$4,800,000"
Shawn Bradley,Dallas Mavericks,"$4,675,000"
Darrel Armstrong,Orlando Magic,"$4,506,000"
Corliss Williamson,Detroit Pistons,"$4,500,000"
Aaron McKie,Philadelphia 76ers,"$4,500,000"
Sam Cassell,Milwaukee Bucks,"$4,500,000"
Antawn Jamison,Golden State Warriors,"$4,469,000"
Adonal Foyle,Golden State Warriors,"$4,400,000"
Steve Francis,Houston Rockets,"$4,383,000"
Mark Jackson,Utah Jazz,"$4,220,000"
Rick Fox,Los Angeles Lakers,"$4,170,000"
Michael Stewart,Cleveland Cavaliers,"$4,160,000"
Eric Snow,Philadelphia 76ers,"$4,125,000"
Kenyon Martin,New Jersey Nets,"$4,067,000"
Ervin Johnson,Milwaukee Bucks,"$4,030,000"
Tony Battie,Boston Celtics,"$4,000,000"
Travis Knight,New York Knicks,"$4,000,000"
Kwame Brown,Washington Wizards,"$3,974,000"
Baron Davis,New Orleans Hornets,"$3,942,000"
Zeljko Rebraca,Detroit Pistons,"$3,850,000"
Tim Hardaway,Indiana Pacers,"$3,780,000"
Tracy Murray,Los Angeles Lakers,"$3,740,000"
Robert Traylor,New Orleans Hornets,"$3,726,000"
Stromile Swift,Memphis Grizzlies,"$3,656,000"
Anthony Carter,Miami Heat,"$3,656,000"
Chucky Atkins,Detroit Pistons,"$3,600,000"
David Wesley,New Orleans Hornets,"$3,600,000"
Moochie Norris,Houston Rockets,"$3,600,000"
Marc Jackson,Minnesota Timberwolves,"$3,575,000"
Lamar Odom,LA Clippers,"$3,557,000"
Jason Williams,Memphis Grizzlies,"$3,425,000"
Antonio Daniels,Portland Trail Blazers,"$3,375,000"
LaPhonso Ellis,Miami Heat,"$3,300,000"
Lawrence Funderburke,Sacramento Kings,"$3,300,000"
Darius Miles,Cleveland Cavaliers,"$3,267,000"
Andrew DeClercq,Orlando Magic,"$3,263,000"
Jonathan Bender,Indiana Pacers,"$3,226,000"
Anthony Peeler,Minnesota Timberwolves,"$3,220,000"
Pau Gasol,Memphis Grizzlies,"$3,194,000"
Jon Barry,Detroit Pistons,"$3,175,000"
Larry Hughes,Washington Wizards,"$3,159,000"
Evan Eschmeyer,Dallas Mavericks,"$3,104,000"
Derek Fisher,Los Angeles Lakers,"$3,000,000"
Lindsey Hunter,Toronto Raptors,"$3,000,000"
Chris Whitney,Orlando Magic,"$2,962,000"
Marcus Fizer,Chicago Bulls,"$2,946,000"
Wally Szczerbiak,Minnesota Timberwolves,"$2,933,000"
Dirk Nowitzki,Dallas Mavericks,"$2,923,000"
Mikki Moore,Atlanta Hawks,"$2,813,000"
Paul Pierce,Boston Celtics,"$2,793,000"
Bonzi Wells,Portland Trail Blazers,"$2,777,000"
Matt Maloney,Atlanta Hawks,"$2,775,000"
Michael Doleac,New York Knicks,"$2,753,000"
Chris Crawford,Atlanta Hawks,"$2,750,000"
Keon Clark,Sacramento Kings,"$2,726,000"
Othella Harrington,New York Knicks,"$2,700,000"
Randy Brown,Phoenix Suns,"$2,700,000"
Bimbo Coles,Boston Celtics,"$2,700,000"
Aaron Williams,New Jersey Nets,"$2,700,000"
Tony Delk,Boston Celtics,"$2,700,000"
Chauncey Billups,Detroit Pistons,"$2,700,000"
Bobby Jackson,Sacramento Kings,"$2,700,000"
Michael Dickerson,Memphis Grizzlies,"$2,699,000"
Richard Hamilton,Detroit Pistons,"$2,681,000"
Mike Miller,Memphis Grizzlies,"$2,668,000"
Matt Harpring,Utah Jazz,"$2,667,000"
Horace Grant,Orlando Magic,"$2,662,000"
Sean Rooks,LA Clippers,"$2,640,000"
Lucious Harris,New Jersey Nets,"$2,640,000"
Hubert Davis,Detroit Pistons,"$2,631,000"
Steve Kerr,San Antonio Spurs,"$2,625,000"
Michael Curry,Detroit Pistons,"$2,600,000"
George Lynch,New Orleans Hornets,"$2,600,000"
Andre Miller,LA Clippers,"$2,460,000"
Rasho Nesterovic,Minnesota Timberwolves,"$2,436,000"
Stacey Augmon,New Orleans Hornets,"$2,400,000"
John Amaechi,Utah Jazz,"$2,393,000"
Shane Battier,Memphis Grizzlies,"$2,368,000"
Shawn Marion,Phoenix Suns,"$2,265,000"
Pat Garrity,Orlando Magic,"$2,238,000"
Chris Mihm,Cleveland Cavaliers,"$2,222,000"
Eddie Griffin,Houston Rockets,"$2,162,000"
Ricky Davis,Cleveland Cavaliers,"$2,156,000"
Jason Terry,Atlanta Hawks,"$2,153,000"
Brian Skinner,Philadelphia 76ers,"$2,148,000"
Al Harrington,Indiana Pacers,"$2,110,000"
Corey Maggette,LA Clippers,"$2,069,000"
Jamal Crawford,Chicago Bulls,"$2,026,000"
Shammond Williams,Denver Nuggets,"$1,987,000"
DeSagana Diop,Cleveland Cavaliers,"$1,980,000"
Metta World Peace,Indiana Pacers,"$1,904,000"
Tyronn Lue,Washington Wizards,"$1,885,000"
Joel Przybilla,Milwaukee Bucks,"$1,862,000"
Rodney White,Denver Nuggets,"$1,821,000"
Keyon Dooling,LA Clippers,"$1,769,000"
Joe Johnson,Phoenix Suns,"$1,729,000"
James Posey,Houston Rockets,"$1,723,000"
Jerome Moiso,New Orleans Hornets,"$1,681,000"
Danny Manning,Detroit Pistons,"$1,650,000"
Kedrick Brown,Boston Celtics,"$1,643,000"
Tony Massenburg,Utah Jazz,"$1,636,000"
Etan Thomas,Washington Wizards,"$1,605,000"
Dion Glover,Atlanta Hawks,"$1,584,000"
Jeff Foster,Indiana Pacers,"$1,571,000"
Vladimir Radmanovic,Seattle SuperSonics,"$1,561,000"
Kenny Thomas,Philadelphia 76ers,"$1,557,000"
Devean George,Los Angeles Lakers,"$1,542,000"
Samaki Walker,Los Angeles Lakers,"$1,540,000"
Courtney Alexander,New Orleans Hornets,"$1,524,000"
Richard Jefferson,New Jersey Nets,"$1,482,000"
Mateen Cleaves,Sacramento Kings,"$1,441,000"
Jumaine Jones,Cleveland Cavaliers,"$1,419,000"
Scott Padgett,Utah Jazz,"$1,410,000"
Troy Murphy,Golden State Warriors,"$1,409,000"
Corie Blount,Chicago Bulls,"$1,400,000"
Brian Shaw,Los Angeles Lakers,"$1,400,000"
Calbert Cheaney,Utah Jazz,"$1,400,000"
Monty Williams,Philadelphia 76ers,"$1,400,000"
Jason Collier,Houston Rockets,"$1,376,000"
Hedo Turkoglu,Sacramento Kings,"$1,300,000"
Bryce Drew,New Orleans Hornets,"$1,300,000"
Kirk Haston,New Orleans Hornets,"$1,271,000"
Desmond Mason,Milwaukee Bucks,"$1,235,000"
Michael Bradley,Toronto Raptors,"$1,208,000"
Quentin Richardson,LA Clippers,"$1,174,000"
Jason Collins,New Jersey Nets,"$1,147,000"
Jamaal Magloire,New Orleans Hornets,"$1,126,000"
Danny Ferry,San Antonio Spurs,"$1,100,000"
Fred Hoiberg,Chicago Bulls,"$1,100,000"
Don Reid,Detroit Pistons,"$1,100,000"
Mark Bryant,Boston Celtics,"$1,100,000"
Zach Randolph,Portland Trail Blazers,"$1,096,000"
Speedy Claxton,San Antonio Spurs,"$1,081,000"
Morris Peterson,Toronto Raptors,"$1,033,000"
Michael Jordan,Washington Wizards,"$1,030,000"
Joseph Forte,Seattle SuperSonics,"$1,009,000"
Kevin Willis,San Antonio Spurs,"$1,000,000"
Donnell Harvey,Denver Nuggets,"$992,000"
Jeryl Sasser,Orlando Magic,"$969,000"
DeShawn Stevenson,Utah Jazz,"$956,000"
Brandon Armstrong,New Jersey Nets,"$930,000"
Dalibor Bagaric,Chicago Bulls,"$914,000"
Andrei Kirilenko,Utah Jazz,"$893,000"
Jake Tsakalidis,Phoenix Suns,"$877,000"
Mamadou N'diaye,Toronto Raptors,"$852,000"
Bruce Bowen,San Antonio Spurs,"$824,000"
Cherokee Parks,LA Clippers,"$824,000"
Emanual Davis,Atlanta Hawks,"$824,000"
Mark Madsen,Los Angeles Lakers,"$817,000"
Jamaal Tinsley,Indiana Pacers,"$805,000"
Primoz Brezec,Indiana Pacers,"$805,000"
Tony Parker,San Antonio Spurs,"$800,000"
Milt Palacio,Cleveland Cavaliers,"$749,000"
Gerald Wallace,Sacramento Kings,"$714,000"
Jacque Vaughn,Orlando Magic,"$700,000"
Earl Boykins,Golden State Warriors,"$700,000"
Vladimir Stepania,Miami Heat,"$637,000"
Mark Blount,Boston Celtics,"$637,000"
Amal McCaskill,Atlanta Hawks,"$612,000"
Charles Smith,Portland Trail Blazers,"$612,000"
Ryan Bowen,Denver Nuggets,"$587,000"
Jake Voskuhl,Phoenix Suns,"$587,000"
Stephen Jackson,San Antonio Spurs,"$587,000"
Olumide Oyedeji,Orlando Magic,"$587,000"
Predrag Drobnjak,Seattle SuperSonics,"$526,000"
Gilbert Arenas,Golden State Warriors,"$512,000"
Damone Brown,Toronto Raptors,"$512,000"
Terence Morris,Houston Rockets,"$512,000"
Jamison Brewer,Indiana Pacers,"$512,000"
Trenton Hassell,Chicago Bulls,"$512,000"
Alton Ford,Phoenix Suns,"$512,000"
Jeff Trepagnier,Denver Nuggets,"$512,000"
Brian Scalabrine,New Jersey Nets,"$512,000"
