Name,Team,Salary
Kobe Bryant,Los Angeles Lakers,"$24,806,250"
Rashard Lewis,Washington Wizards,"$19,573,711"
Tim Duncan,San Antonio Spurs,"$18,835,381"
Kevin Garnett,Boston Celtics,"$18,832,044"
Michael Redd,Milwaukee Bucks,"$18,300,000"
Pau Gasol,Los Angeles Lakers,"$17,823,000"
Andrei Kirilenko,Utah Jazz,"$17,823,000"
Gilbert Arenas,Orlando Magic,"$17,730,694"
Yao Ming,Houston Rockets,"$17,686,100"
Zach Randolph,Memphis Grizzlies,"$17,666,666"
Vince Carter,Phoenix Suns,"$17,522,375"
Dirk Nowitzki,Dallas Mavericks,"$17,278,618"
Carmelo Anthony,New York Knicks,"$17,149,243"
Dwight Howard,Orlando Magic,"$16,647,180"
Kenyon Martin,Denver Nuggets,"$16,545,454"
Amar'e Stoudemire,New York Knicks,"$16,486,611"
Joe Johnson,Atlanta Hawks,"$16,324,500"
Elton Brand,Philadelphia 76ers,"$15,959,099"
Chris Paul,New Orleans Hornets,"$14,940,153"
Deron Williams,New Jersey Nets,"$14,940,153"
Chris Bosh,Miami Heat,"$14,500,000"
LeBron James,Miami Heat,"$14,500,000"
Jason Richardson,Orlando Magic,"$14,444,443"
Carlos Boozer,Chicago Bulls,"$14,400,000"
Dwyane Wade,Miami Heat,"$14,200,000"
Baron Davis,Cleveland Cavaliers,"$14,000,000"
Paul Pierce,Boston Celtics,"$13,876,321"
Andrew Bynum,Los Angeles Lakers,"$13,700,000"
Brandon Roy,Portland Trail Blazers,"$13,603,750"
Rudy Gay,Memphis Grizzlies,"$13,603,750"
Tony Parker,San Antonio Spurs,"$13,500,000"
Samuel Dalembert,Sacramento Kings,"$13,428,129"
Antawn Jamison,Cleveland Cavaliers,"$13,358,905"
Nick Collison,Oklahoma City Thunder,"$13,270,000"
Chauncey Billups,New York Knicks,"$13,150,000"
Al Jefferson,Utah Jazz,"$13,000,000"
Tyson Chandler,Dallas Mavericks,"$12,600,000"
Richard Hamilton,Detroit Pistons,"$12,500,000"
Andre Iguodala,Philadelphia 76ers,"$12,345,250"
Manu Ginobili,San Antonio Spurs,"$11,854,584"
Chris Kaman,LA Clippers,"$11,800,000"
Marcus Camby,Portland Trail Blazers,"$11,749,832"
Josh Smith,Atlanta Hawks,"$11,700,000"
Eddy Curry,Dallas Mavericks,"$11,530,592"
Emeka Okafor,New Orleans Hornets,"$11,495,000"
Nene Hilario,Denver Nuggets,"$11,360,000"
Luol Deng,Chicago Bulls,"$11,345,000"
LaMarcus Aldridge,Portland Trail Blazers,"$11,244,000"
Tayshaun Prince,Detroit Pistons,"$11,148,760"
Monta Ellis,Golden State Warriors,"$11,000,000"
Andrew Bogut,Milwaukee Bucks,"$11,000,000"
Danny Granger,Indiana Pacers,"$10,973,202"
David Lee,Golden State Warriors,"$10,800,000"
Jamal Crawford,Atlanta Hawks,"$10,800,000"
Ben Gordon,Detroit Pistons,"$10,800,000"
Kevin Martin,Houston Rockets,"$10,600,005"
Mike Dunleavy,Indiana Pacers,"$10,561,984"
Caron Butler,Dallas Mavericks,"$10,561,960"
Gerald Wallace,Portland Trail Blazers,"$10,500,000"
Steve Nash,Phoenix Suns,"$10,310,938"
Hedo Turkoglu,Orlando Magic,"$10,215,850"
Ray Allen,Boston Celtics,"$10,000,000"
Mehmet Okur,Utah Jazz,"$9,945,000"
Jason Terry,Dallas Mavericks,"$9,873,000"
Corey Maggette,Milwaukee Bucks,"$9,600,000"
Cuttino Mobley,LA Clippers,"$9,500,000"
Mo Williams,LA Clippers,"$9,300,000"
Kirk Hinrich,Atlanta Hawks,"$9,100,000"
Rajon Rondo,Boston Celtics,"$9,090,911"
Andris Biedrins,Golden State Warriors,"$9,000,000"
Boris Diaw,Charlotte Bobcats,"$9,000,000"
Jose Calderon,Toronto Raptors,"$9,000,000"
Devin Harris,Utah Jazz,"$8,981,000"
Jason Kidd,Dallas Mavericks,"$8,610,500"
Andrea Bargnani,Toronto Raptors,"$8,500,000"
T.J. Ford,Indiana Pacers,"$8,500,000"
Stephen Jackson,Charlotte Bobcats,"$8,453,250"
Richard Jefferson,San Antonio Spurs,"$8,400,000"
David West,New Orleans Hornets,"$8,287,500"
Lamar Odom,Los Angeles Lakers,"$8,200,000"
John Salmons,Milwaukee Bucks,"$8,000,000"
Mark Blount,Miami Heat,"$7,967,375"
Jameer Nelson,Orlando Magic,"$7,800,000"
Luis Scola,Houston Rockets,"$7,775,378"
Joel Przybilla,Charlotte Bobcats,"$7,725,470"
Paul Millsap,Utah Jazz,"$7,600,000"
Shane Battier,Memphis Grizzlies,"$7,354,500"
Anderson Varejao,Cleveland Cavaliers,"$7,281,818"
Andre Miller,Portland Trail Blazers,"$7,269,264"
Marvin Williams,Atlanta Hawks,"$7,262,500"
JJ Redick,Orlando Magic,"$7,250,000"
Dan Gadzuric,New Jersey Nets,"$7,248,325"
James Posey,Indiana Pacers,"$7,148,800"
Leandro Barbosa,Toronto Raptors,"$7,100,000"
Marko Jaric,Brooklyn Nets,"$7,100,000"
Shawn Marion,Dallas Mavericks,"$7,055,500"
Charlie Villanueva,Detroit Pistons,"$7,020,000"
Raymond Felton,Denver Nuggets,"$7,000,000"
Travis Outlaw,New Jersey Nets,"$7,000,000"
Brendan Haywood,Dallas Mavericks,"$6,900,000"
Nazr Mohammed,Oklahoma City Thunder,"$6,883,800"
Vladimir Radmanovic,Golden State Warriors,"$6,883,800"
Andres Nocioni,Philadelphia 76ers,"$6,850,000"
Greg Oden,Miami Heat,"$6,760,524"
JR Smith,Denver Nuggets,"$6,757,851"
Kendrick Perkins,Oklahoma City Thunder,"$6,696,720"
Morris Peterson,Oklahoma City Thunder,"$6,665,000"
Jeff Foster,Indiana Pacers,"$6,655,000"
