Name,Team,Salary
Kobe Bryant,Los Angeles Lakers,"$23,500,000"
Joe Johnson,Brooklyn Nets,"$23,180,790"
Carmelo Anthony,New York Knicks,"$22,458,401"
Dwight Howard,Houston Rockets,"$21,436,271"
Chris Bosh,Miami Heat,"$20,644,400"
LeBron James,Cleveland Cavaliers,"$20,644,400"
Chris Paul,LA Clippers,"$20,068,563"
Deron Williams,Brooklyn Nets,"$19,754,465"
Rudy Gay,Sacramento Kings,"$19,317,326"
Kevin Durant,Oklahoma City Thunder,"$18,995,624"
Derrick Rose,Chicago Bulls,"$18,862,876"
Blake Griffin,LA Clippers,"$17,674,613"
Zach Randolph,Memphis Grizzlies,"$16,500,000"
LaMarcus Aldridge,Portland Trail Blazers,"$16,006,000"
Paul George,Indiana Pacers,"$15,937,290"
Marc Gasol,Memphis Grizzlies,"$15,829,688"
Kevin Love,Cleveland Cavaliers,"$15,719,063"
Brook Lopez,Brooklyn Nets,"$15,719,062"
Russell Westbrook,Oklahoma City Thunder,"$15,719,062"
David Lee,Golden State Warriors,"$15,012,000"
Dwyane Wade,Miami Heat,"$15,000,000"
Eric Gordon,New Orleans Pelicans,"$14,898,938"
Roy Hibbert,Indiana Pacers,"$14,898,938"
Tyson Chandler,Dallas Mavericks,"$14,846,888"
Gordon Hayward,Utah Jazz,"$14,746,000"
John Wall,Washington Wizards,"$14,746,000"
DeMarcus Cousins,Sacramento Kings,"$14,746,000"
James Harden,Houston Rockets,"$14,728,844"
Chandler Parsons,Dallas Mavericks,"$14,700,000"
Al Jefferson,Charlotte Hornets,"$13,500,000"
Eric Bledsoe,Phoenix Suns,"$13,000,000"
Nene Hilario,Washington Wizards,"$13,000,000"
Andrew Bogut,Golden State Warriors,"$12,972,973"
Derrick Favors,Utah Jazz,"$12,950,000"
Rajon Rondo,Dallas Mavericks,"$12,909,090"
Joakim Noah,Chicago Bulls,"$12,700,000"
Tony Parker,San Antonio Spurs,"$12,500,000"
Serge Ibaka,Oklahoma City Thunder,"$12,350,000"
Andre Iguodala,Golden State Warriors,"$12,289,544"
Nikola Pekovic,Minnesota Timberwolves,"$12,100,000"
Kyle Lowry,Toronto Raptors,"$12,000,000"
Kevin Garnett,Minnesota Timberwolves,"$12,000,000"
David West,Indiana Pacers,"$12,000,000"
Al Horford,Atlanta Hawks,"$12,000,000"
Nicolas Batum,Portland Trail Blazers,"$11,765,500"
Ty Lawson,Denver Nuggets,"$11,595,506"
Andrea Bargnani,New York Knicks,"$11,500,000"
DeAndre Jordan,LA Clippers,"$11,440,123"
Tyreke Evans,New Orleans Pelicans,"$11,265,416"
JaVale McGee,Philadelphia 76ers,"$11,250,000"
Larry Sanders,Milwaukee Bucks,"$11,000,000"
Danilo Gallinari,Denver Nuggets,"$10,854,850"
Stephen Curry,Golden State Warriors,"$10,629,213"
Marcin Gortat,Washington Wizards,"$10,434,782"
Tim Duncan,San Antonio Spurs,"$10,361,446"
Gerald Wallace,Boston Celtics,"$10,105,855"
DeMar DeRozan,Toronto Raptors,"$10,100,000"
Jrue Holiday,New Orleans Pelicans,"$9,904,495"
Luol Deng,Miami Heat,"$9,714,461"
Anderson Varejao,Cleveland Cavaliers,"$9,704,545"
Steve Nash,Los Angeles Lakers,"$9,701,000"
