Name,Team,Salary
Kevin Garnett,Boston Celtics,"$24,751,934"
Jason Kidd,Dallas Mavericks,"$21,372,000"
Jermaine O'Neal,Miami Heat,"$21,372,000"
Kobe Bryant,Los Angeles Lakers,"$21,262,500"
Shaquille O'Neal,Phoenix Suns,"$21,000,000"
Allen Iverson,Detroit Pistons,"$20,840,625"
Stephon Marbury,Boston Celtics,"$20,840,625"
Tim Duncan,San Antonio Spurs,"$20,598,704"
Tracy McGrady,Houston Rockets,"$20,370,437"
Ray Allen,Boston Celtics,"$18,388,430"
Dirk Nowitzki,Dallas Mavericks,"$18,077,904"
Paul Pierce,Boston Celtics,"$18,077,903"
Shawn Marion,Toronto Raptors,"$17,810,000"
Rashard Lewis,Orlando Magic,"$16,447,871"
Michael Redd,Milwaukee Bucks,"$15,780,000"
Pau Gasol,Los Angeles Lakers,"$15,106,000"
Andrei Kirilenko,Utah Jazz,"$15,106,000"
Amar'e Stoudemire,Phoenix Suns,"$15,070,550"
Yao Ming,Houston Rockets,"$15,070,550"
Mike Bibby,Atlanta Hawks,"$14,983,603"
Vince Carter,New Jersey Nets,"$14,724,125"
Zach Randolph,LA Clippers,"$14,666,667"
Gilbert Arenas,Washington Wizards,"$14,653,466"
Ben Wallace,Cleveland Cavaliers,"$14,500,000"
Kenyon Martin,Denver Nuggets,"$14,431,816"
Dwyane Wade,Miami Heat,"$14,410,581"
Chris Bosh,Toronto Raptors,"$14,410,581"
Carmelo Anthony,Denver Nuggets,"$14,410,581"
LeBron James,Cleveland Cavaliers,"$14,410,581"
Joe Johnson,Atlanta Hawks,"$14,232,567"
Lamar Odom,Los Angeles Lakers,"$14,148,596"
Rasheed Wallace,Detroit Pistons,"$13,930,000"
Wally Szczerbiak,Cleveland Cavaliers,"$13,775,000"
Dwight Howard,Orlando Magic,"$13,758,000"
Elton Brand,Philadelphia 76ers,"$13,757,844"
Richard Jefferson,Milwaukee Bucks,"$13,200,000"
Larry Hughes,New York Knicks,"$12,827,676"
Raef LaFrentz,Portland Trail Blazers,"$12,722,500"
Peja Stojakovic,New Orleans Hornets,"$12,528,000"
Steve Nash,Phoenix Suns,"$12,250,000"
Jason Richardson,Phoenix Suns,"$12,222,221"
Carlos Boozer,Utah Jazz,"$11,593,817"
Erick Dampier,Dallas Mavericks,"$11,553,000"
Tony Parker,San Antonio Spurs,"$11,550,000"
Brad Miller,Chicago Bulls,"$11,375,000"
Tyson Chandler,New Orleans Hornets,"$11,350,000"
Andre Iguodala,Philadelphia 76ers,"$11,300,000"
Baron Davis,LA Clippers,"$11,250,000"
Samuel Dalembert,Philadelphia 76ers,"$11,238,564"
Chauncey Billups,Denver Nuggets,"$11,050,000"
Monta Ellis,Golden State Warriors,"$11,000,000"
Al Jefferson,Minnesota Timberwolves,"$11,000,000"
Zydrunas Ilgauskas,Cleveland Cavaliers,"$10,841,615"
Richard Hamilton,Detroit Pistons,"$10,812,500"
Bobby Simmons,New Jersey Nets,"$10,602,667"
Andre Miller,Philadelphia 76ers,"$10,333,334"
Troy Murphy,Indiana Pacers,"$10,126,984"
Marcus Camby,LA Clippers,"$10,000,000"
Josh Smith,Atlanta Hawks,"$10,000,000"
Kirk Hinrich,Chicago Bulls,"$10,000,000"
Josh Howard,Dallas Mavericks,"$9,945,000"
Antawn Jamison,Washington Wizards,"$9,923,285"
Manu Ginobili,San Antonio Spurs,"$9,905,248"
David West,New Orleans Hornets,"$9,862,500"
Eddy Curry,New York Knicks,"$9,723,983"
Nene Hilario,Denver Nuggets,"$9,680,000"
Emeka Okafor,Charlotte Bobcats,"$9,537,500"
Chris Kaman,LA Clippers,"$9,500,000"
Gerald Wallace,Charlotte Bobcats,"$9,500,000"
Tayshaun Prince,Detroit Pistons,"$9,500,000"
Luol Deng,Chicago Bulls,"$9,385,000"
Caron Butler,Washington Wizards,"$9,249,980"
Al Harrington,New York Knicks,"$9,226,250"
Jason Terry,Dallas Mavericks,"$9,196,000"
Antoine Walker,Minnesota Timberwolves,"$9,052,460"
Mike Miller,Minnesota Timberwolves,"$9,028,575"
Andris Biedrins,Golden State Warriors,"$9,000,000"
Boris Diaw,Charlotte Bobcats,"$9,000,000"
