Name,Team,Salary
LeBron James,Cleveland Cavaliers,"$30,963,450"
Kevin Durant,Golden State Warriors,"$26,540,100"
Mike Conley,Memphis Grizzlies,"$26,540,100"
James Harden,Houston Rockets,"$26,540,100"
Russell Westbrook,Oklahoma City Thunder,"$26,540,100"
DeMar DeRozan,Toronto Raptors,"$26,540,100"
Al Horford,Boston Celtics,"$26,540,100"
Dirk Nowitzki,Dallas Mavericks,"$25,000,000"
Carmelo Anthony,New York Knicks,"$24,559,380"
Damian Lillard,Portland Trail Blazers,"$24,328,425"
Chris Bosh,Miami Heat,"$23,741,060"
Dwyane Wade,Chicago Bulls,"$23,200,000"
Dwight Howard,Atlanta Hawks,"$23,180,275"
Chris Paul,LA Clippers,"$22,868,827"
Hassan Whiteside,Miami Heat,"$22,116,750"
Harrison Barnes,Dallas Mavericks,"$22,116,750"
Bradley Beal,Washington Wizards,"$22,116,750"
Anthony Davis,New Orleans Pelicans,"$22,116,750"
Andre Drummond,Detroit Pistons,"$22,116,750"
Chandler Parsons,Memphis Grizzlies,"$22,116,750"
Derrick Rose,New York Knicks,"$21,323,252"
Marc Gasol,Memphis Grizzlies,"$21,165,675"
Brook Lopez,Brooklyn Nets,"$21,165,675"
Kevin Love,Cleveland Cavaliers,"$21,165,675"
DeAndre Jordan,LA Clippers,"$21,165,675"
Nicolas Batum,Charlotte Hornets,"$20,869,566"
LaMarcus Aldridge,San Antonio Spurs,"$20,575,005"
Blake Griffin,LA Clippers,"$20,140,839"
Paul Millsap,Atlanta Hawks,"$20,072,033"
Ryan Anderson,Houston Rockets,"$18,735,364"
Allen Crabbe,Portland Trail Blazers,"$18,500,000"
Paul George,Indiana Pacers,"$18,314,532"
Luol Deng,Los Angeles Lakers,"$18,000,000"
Kawhi Leonard,San Antonio Spurs,"$17,638,063"
Kyrie Irving,Cleveland Cavaliers,"$17,638,063"
Jimmy Butler,Chicago Bulls,"$17,552,209"
Tobias Harris,Detroit Pistons,"$17,200,000"
Greg Monroe,Milwaukee Bucks,"$17,145,838"
Enes Freedom,Oklahoma City Thunder,"$17,145,838"
Wesley Matthews,Dallas Mavericks,"$17,145,838"
Bismack Biyombo,Orlando Magic,"$17,000,000"
Joakim Noah,New York Knicks,"$17,000,000"
Evan Fournier,Orlando Magic,"$17,000,000"
John Wall,Washington Wizards,"$16,957,900"
DeMarcus Cousins,New Orleans Pelicans,"$16,957,900"
Klay Thompson,Golden State Warriors,"$16,663,575"
Evan Turner,Portland Trail Blazers,"$16,393,443"
Gordon Hayward,Utah Jazz,"$16,073,140"
Timofey Mozgov,Los Angeles Lakers,"$16,000,000"
Ian Mahinmi,Washington Wizards,"$15,944,154"
Goran Dragic,Miami Heat,"$15,891,725"
Kent Bazemore,Atlanta Hawks,"$15,730,338"
Pau Gasol,San Antonio Spurs,"$15,500,000"
Draymond Green,Golden State Warriors,"$15,330,435"
Tristan Thompson,Cleveland Cavaliers,"$15,330,435"
Khris Middleton,Milwaukee Bucks,"$15,200,000"
Danilo Gallinari,Denver Nuggets,"$15,050,000"
Jeff Green,Orlando Magic,"$15,000,000"
Reggie Jackson,Detroit Pistons,"$14,956,522"
Tony Parker,San Antonio Spurs,"$14,445,313"
Jonas Valanciunas,Toronto Raptors,"$14,382,023"
DeMarre Carroll,Toronto Raptors,"$14,200,000"
Thaddeus Young,Indiana Pacers,"$14,153,652"
Manu Ginobili,San Antonio Spurs,"$14,000,000"
Eric Bledsoe,Phoenix Suns,"$14,000,000"
Rajon Rondo,Chicago Bulls,"$14,000,000"
Ricky Rubio,Minnesota Timberwolves,"$13,550,000"
Rudy Gay,Sacramento Kings,"$13,333,333"
Jamal Crawford,LA Clippers,"$13,253,012"
Robin Lopez,Chicago Bulls,"$13,219,250"
Michael Kidd-Gilchrist,Charlotte Hornets,"$13,000,000"
JR Smith,Cleveland Cavaliers,"$12,800,000"
Brandon Knight,Phoenix Suns,"$12,606,250"
John Henson,Milwaukee Bucks,"$12,517,606"
Miles Plumlee,Charlotte Hornets,"$12,500,000"
Jordan Clarkson,Los Angeles Lakers,"$12,500,000"
Arron Afflalo,Sacramento Kings,"$12,500,000"
Tyson Chandler,Phoenix Suns,"$12,415,000"
Eric Gordon,Houston Rockets,"$12,385,364"
Marvin Williams,Charlotte Hornets,"$12,250,000"
Serge Ibaka,Toronto Raptors,"$12,250,000"
Stephen Curry,Golden State Warriors,"$12,112,359"
Nikola Pekovic,Minnesota Timberwolves,"$12,100,000"
Kenneth Faried,Denver Nuggets,"$12,078,652"
Kyle Lowry,Toronto Raptors,"$12,000,000"
Amir Johnson,Boston Celtics,"$12,000,000"
Marcin Gortat,Washington Wizards,"$12,000,000"
Kemba Walker,Charlotte Hornets,"$12,000,000"
Nikola Vucevic,Orlando Magic,"$11,750,000"
Jeremy Lin,Brooklyn Nets,"$11,483,254"
Jrue Holiday,New Orleans Pelicans,"$11,286,518"
Courtney Lee,New York Knicks,"$11,242,000"
Solomon Hill,New Orleans Pelicans,"$11,241,218"
Wilson Chandler,Denver Nuggets,"$11,233,146"
Andre Iguodala,Golden State Warriors,"$11,131,368"
Derrick Favors,Utah Jazz,"$11,050,000"
Austin Rivers,LA Clippers,"$11,000,000"
Joe Johnson,Utah Jazz,"$11,000,000"
Jon Leuer,Detroit Pistons,"$10,991,957"
Monta Ellis,Indiana Pacers,"$10,763,500"
Mirza Teletovic,Milwaukee Bucks,"$10,500,000"
Jared Dudley,Phoenix Suns,"$10,470,000"
Zach Randolph,Memphis Grizzlies,"$10,361,445"
Al Jefferson,Indiana Pacers,"$10,314,532"
Tyreke Evans,Sacramento Kings,"$10,203,755"
Alec Burks,Utah Jazz,"$10,154,495"
Terrence Ross,Orlando Magic,"$10,000,000"
Danny Green,San Antonio Spurs,"$10,000,000"
Omer Asik,New Orleans Pelicans,"$9,904,494"
Iman Shumpert,Cleveland Cavaliers,"$9,662,922"
Matthew Dellavedova,Milwaukee Bucks,"$9,607,500"
Jerryd Bayless,Philadelphia 76ers,"$9,424,084"
Trevor Booker,Brooklyn Nets,"$9,250,000"
Meyers Leonard,Portland Trail Blazers,"$9,213,483"
Gerald Henderson,Philadelphia 76ers,"$9,000,000"
Maurice Harkless,Portland Trail Blazers,"$8,988,765"
Taj Gibson,Oklahoma City Thunder,"$8,950,000"
