Name,Team,Salary
Stephen Curry,Golden State Warriors,"$43,006,362"
Russell Westbrook,Washington Wizards,"$41,358,814"
Chris Paul,Phoenix Suns,"$41,358,814"
James Harden,Brooklyn Nets,"$41,254,920"
John Wall,Houston Rockets,"$41,254,920"
Kevin Durant,Brooklyn Nets,"$40,108,950"
LeBron James,Los Angeles Lakers,"$39,219,565"
Paul George,LA Clippers,"$35,450,412"
Klay Thompson,Golden State Warriors,"$35,361,360"
Mike Conley,Utah Jazz,"$34,502,130"
Jimmy Butler,Miami Heat,"$34,379,100"
Kawhi Leonard,LA Clippers,"$34,379,100"
Kemba Walker,Boston Celtics,"$34,379,100"
Tobias Harris,Philadelphia 76ers,"$34,358,850"
Khris Middleton,Milwaukee Bucks,"$33,051,724"
Anthony Davis,Los Angeles Lakers,"$32,742,000"
Kyrie Irving,Brooklyn Nets,"$31,742,000"
Damian Lillard,Portland Trail Blazers,"$31,626,953"
Kevin Love,Cleveland Cavaliers,"$31,258,256"
Ben Simmons,Philadelphia 76ers,"$30,559,200"
Pascal Siakam,Toronto Raptors,"$30,559,200"
Kyle Lowry,Toronto Raptors,"$30,500,000"
Steven Adams,New Orleans Pelicans,"$29,592,696"
Joel Embiid,Philadelphia 76ers,"$29,542,010"
Andrew Wiggins,Golden State Warriors,"$29,542,010"
Nikola Jokic,Denver Nuggets,"$29,542,010"
Devin Booker,Phoenix Suns,"$29,467,800"
Karl-Anthony Towns,Minnesota Timberwolves,"$29,467,800"
Kristaps Porzingis,Dallas Mavericks,"$29,467,800"
CJ McCollum,Portland Trail Blazers,"$29,354,152"
Bradley Beal,Washington Wizards,"$28,751,775"
D'Angelo Russell,Minnesota Timberwolves,"$28,649,250"
Gordon Hayward,Charlotte Hornets,"$28,500,000"
Otto Porter Jr.,Orlando Magic,"$28,489,237"
DeMar DeRozan,San Antonio Spurs,"$27,739,975"
Giannis Antetokounmpo,Milwaukee Bucks,"$27,528,090"
Rudy Gobert,Utah Jazz,"$27,525,281"
Al Horford,Oklahoma City Thunder,"$27,500,000"
Jamal Murray,Denver Nuggets,"$27,285,000"
Brandon Ingram,New Orleans Pelicans,"$27,285,000"
Jrue Holiday,Milwaukee Bucks,"$26,231,111"
Nikola Vucevic,Chicago Bulls,"$26,000,000"
Chandler Parsons,Atlanta Hawks,"$25,102,511"
Buddy Hield,Sacramento Kings,"$24,701,834"
LaMarcus Aldridge,Brooklyn Nets,"$24,000,000"
Jaylen Brown,Boston Celtics,"$23,735,118"
Draymond Green,Golden State Warriors,"$22,246,956"
