Name,Team,Salary
Kobe Bryant,Los Angeles Lakers,"$23,034,375"
Jermaine O'Neal,Miami Heat,"$23,016,000"
Tracy McGrady,New York Knicks,"$22,843,124"
Tim Duncan,San Antonio Spurs,"$22,183,220"
Shaquille O'Neal,Cleveland Cavaliers,"$21,000,000"
Dirk Nowitzki,Dallas Mavericks,"$19,795,714"
Paul Pierce,Boston Celtics,"$19,795,712"
Ray Allen,Boston Celtics,"$18,776,860"
Rashard Lewis,Orlando Magic,"$18,010,791"
Michael Redd,Milwaukee Bucks,"$17,040,000"
Pau Gasol,Los Angeles Lakers,"$16,452,000"
Andrei Kirilenko,Utah Jazz,"$16,452,000"
Kevin Garnett,Boston Celtics,"$16,417,044"
Amar'e Stoudemire,Phoenix Suns,"$16,378,325"
Yao Ming,Houston Rockets,"$16,378,325"
Gilbert Arenas,Washington Wizards,"$16,192,080"
Vince Carter,Orlando Magic,"$16,123,250"
Zach Randolph,Memphis Grizzlies,"$16,000,000"
Kenyon Martin,Denver Nuggets,"$15,852,511"
Dwyane Wade,Miami Heat,"$15,779,912"
Chris Bosh,Toronto Raptors,"$15,779,912"
Carmelo Anthony,Denver Nuggets,"$15,779,912"
LeBron James,Cleveland Cavaliers,"$15,779,912"
Dwight Howard,Orlando Magic,"$15,202,590"
Joe Johnson,Atlanta Hawks,"$14,976,754"
Elton Brand,Philadelphia 76ers,"$14,858,472"
Richard Jefferson,San Antonio Spurs,"$14,200,000"
Chris Paul,New Orleans Hornets,"$13,520,500"
Deron Williams,Utah Jazz,"$13,520,500"
Peja Stojakovic,New Orleans Hornets,"$13,392,000"
Jason Richardson,Phoenix Suns,"$13,333,332"
Steve Nash,Phoenix Suns,"$13,125,000"
Tony Parker,San Antonio Spurs,"$12,600,000"
Andrew Bynum,Los Angeles Lakers,"$12,500,000"
Carlos Boozer,Utah Jazz,"$12,323,900"
Brad Miller,Chicago Bulls,"$12,250,000"
Andre Iguodala,Philadelphia 76ers,"$12,200,000"
Erick Dampier,Dallas Mavericks,"$12,115,500"
Baron Davis,LA Clippers,"$12,100,000"
Chauncey Billups,Denver Nuggets,"$12,100,000"
Samuel Dalembert,Philadelphia 76ers,"$12,025,694"
Al Jefferson,Minnesota Timberwolves,"$12,000,000"
Tyson Chandler,Charlotte Bobcats,"$11,700,000"
Antawn Jamison,Cleveland Cavaliers,"$11,641,095"
Richard Hamilton,Detroit Pistons,"$11,375,000"
Bobby Simmons,New Jersey Nets,"$11,242,666"
Troy Murphy,Indiana Pacers,"$11,047,619"
Monta Ellis,Golden State Warriors,"$11,000,000"
Josh Howard,Washington Wizards,"$10,890,000"
Josh Smith,Atlanta Hawks,"$10,800,000"
Emeka Okafor,New Orleans Hornets,"$10,797,500"
Manu Ginobili,San Antonio Spurs,"$10,728,130"
Nene Hilario,Denver Nuggets,"$10,520,000"
Eddy Curry,New York Knicks,"$10,500,423"
Chris Kaman,LA Clippers,"$10,400,000"
Luol Deng,Chicago Bulls,"$10,365,000"
Tayshaun Prince,Detroit Pistons,"$10,324,380"
Danny Granger,Indiana Pacers,"$10,130,500"
Al Harrington,New York Knicks,"$10,026,875"
Andrew Bogut,Milwaukee Bucks,"$10,000,000"
Ben Gordon,Detroit Pistons,"$10,000,000"
Mike Dunleavy,Indiana Pacers,"$9,780,992"
Caron Butler,Dallas Mavericks,"$9,780,970"
Mike Miller,Washington Wizards,"$9,780,937"
Kevin Martin,Houston Rockets,"$9,680,170"
Gerald Wallace,Charlotte Bobcats,"$9,500,000"
Cuttino Mobley,LA Clippers,"$9,500,000"
Kirk Hinrich,Chicago Bulls,"$9,500,000"
Jamal Crawford,Atlanta Hawks,"$9,360,000"
Marcus Camby,Portland Trail Blazers,"$9,150,000"
Jason Terry,Dallas Mavericks,"$9,075,000"
David West,New Orleans Hornets,"$9,075,000"
Andris Biedrins,Golden State Warriors,"$9,000,000"
Boris Diaw,Charlotte Bobcats,"$9,000,000"
Mehmet Okur,Utah Jazz,"$9,000,000"
Hedo Turkoglu,Toronto Raptors,"$9,000,000"
Corey Maggette,Golden State Warriors,"$8,937,931"
Mo Williams,Cleveland Cavaliers,"$8,860,000"
Kenny Thomas,Sacramento Kings,"$8,775,000"
Quentin Richardson,Miami Heat,"$8,700,000"
T.J. Ford,Indiana Pacers,"$8,500,000"
Devin Harris,New Jersey Nets,"$8,400,000"
Jose Calderon,Toronto Raptors,"$8,219,009"
Jason Kidd,Dallas Mavericks,"$8,100,000"
Jameer Nelson,Orlando Magic,"$8,100,000"
Mark Blount,Miami Heat,"$7,967,375"
Etan Thomas,Oklahoma City Thunder,"$7,906,088"
Paul Millsap,Utah Jazz,"$7,692,932"
Stephen Jackson,Charlotte Bobcats,"$7,650,000"
Darko Milicic,Minnesota Timberwolves,"$7,540,000"
Andres Nocioni,Sacramento Kings,"$7,500,000"
Lamar Odom,Los Angeles Lakers,"$7,500,000"
Marvin Williams,Atlanta Hawks,"$7,500,000"
Marko Jaric,Brooklyn Nets,"$7,100,000"
Udonis Haslem,Miami Heat,"$7,100,000"
David Lee,New York Knicks,"$7,000,000"
Shane Battier,Houston Rockets,"$6,939,200"
Joel Przybilla,Portland Trail Blazers,"$6,857,725"
Dan Gadzuric,Milwaukee Bucks,"$6,749,260"
Andre Miller,Portland Trail Blazers,"$6,730,800"
Shawn Marion,Dallas Mavericks,"$6,635,068"
Tony Battie,New Jersey Nets,"$6,606,600"
Leandro Barbosa,Phoenix Suns,"$6,600,000"
Antonio Daniels,Philadelphia 76ers,"$6,600,000"
Jerome James,Chicago Bulls,"$6,600,000"
Andrea Bargnani,Toronto Raptors,"$6,527,491"
Luke Ridnour,Milwaukee Bucks,"$6,500,000"
Charlie Villanueva,Detroit Pistons,"$6,500,000"
Nazr Mohammed,Charlotte Bobcats,"$6,466,600"
Jared Jeffries,Houston Rockets,"$6,466,600"
Mike James,Washington Wizards,"$6,466,600"
Vladimir Radmanovic,Golden State Warriors,"$6,466,600"
John Salmons,Milwaukee Bucks,"$6,429,151"
Anderson Varejao,Cleveland Cavaliers,"$6,363,636"
Nick Collison,Oklahoma City Thunder,"$6,250,000"
Mike Bibby,Atlanta Hawks,"$6,217,617"
Jason Kapono,Philadelphia 76ers,"$6,212,960"
JR Smith,Denver Nuggets,"$6,171,426"
Jeff Foster,Indiana Pacers,"$6,077,500"
Chris Duhon,New York Knicks,"$6,031,800"
James Posey,New Orleans Hornets,"$6,031,800"
Beno Udrih,Sacramento Kings,"$6,031,800"
DeSagana Diop,Charlotte Bobcats,"$6,031,800"
Brendan Haywood,Dallas Mavericks,"$6,000,000"
Rasheed Wallace,Boston Celtics,"$5,854,000"
Trevor Ariza,Houston Rockets,"$5,854,000"
Metta World Peace,Los Angeles Lakers,"$5,854,000"
Marcin Gortat,Orlando Magic,"$5,854,000"
LaMarcus Aldridge,Portland Trail Blazers,"$5,844,827"
Morris Peterson,New Orleans Hornets,"$5,800,000"
Francisco Garcia,Sacramento Kings,"$5,800,000"
Raymond Felton,Charlotte Bobcats,"$5,501,196"
Greg Oden,Portland Trail Blazers,"$5,361,240"
Mickael Pietrus,Orlando Magic,"$5,300,000"
Adam Morrison,Los Angeles Lakers,"$5,257,229"
Raja Bell,Golden State Warriors,"$5,250,000"
Speedy Claxton,Atlanta Hawks,"$5,209,454"
Derrick Rose,Chicago Bulls,"$5,184,480"
Kyle Korver,Utah Jazz,"$5,163,636"
Nenad Krstic,Oklahoma City Thunder,"$5,160,832"
Derek Fisher,Los Angeles Lakers,"$5,048,000"
Jason Maxiell,Detroit Pistons,"$5,000,000"
Sasha Vujacic,Los Angeles Lakers,"$5,000,000"
Nate Robinson,Boston Celtics,"$5,000,000"
Jarrett Jack,Toronto Raptors,"$5,000,000"
Blake Griffin,Boston Celtics,"$4,983,480"
Lou Williams,Philadelphia 76ers,"$4,972,500"
Reggie Evans,Toronto Raptors,"$4,960,000"
Luke Walton,Los Angeles Lakers,"$4,840,000"
Kevin Durant,Oklahoma City Thunder,"$4,796,880"
Zaza Pachulia,Atlanta Hawks,"$4,750,000"
Tyrus Thomas,Charlotte Bobcats,"$4,743,598"
Matt Carroll,Dallas Mavericks,"$4,700,000"
Michael Beasley,Miami Heat,"$4,638,600"
Drew Gooden,LA Clippers,"$4,580,735"
Marcus Banks,Toronto Raptors,"$4,553,793"
Darius Songaila,New Orleans Hornets,"$4,526,000"
Antonio McDyess,San Antonio Spurs,"$4,500,000"
Kendrick Perkins,Boston Celtics,"$4,500,000"
Hasheem Thabeet,Memphis Grizzlies,"$4,458,840"
Trenton Hassell,New Jersey Nets,"$4,350,000"
Martell Webster,Portland Trail Blazers,"$4,344,000"
James Jones,Miami Heat,"$4,330,000"
Al Horford,Atlanta Hawks,"$4,307,640"
Delonte West,Cleveland Cavaliers,"$4,254,250"
O.J. Mayo,Memphis Grizzlies,"$4,165,560"
Ronny Turiaf,Golden State Warriors,"$4,140,000"
Bruce Bowen,San Antonio Spurs,"$4,100,000"
Daniel Gibson,Cleveland Cavaliers,"$4,088,500"
Greg Buckner,Memphis Grizzlies,"$4,080,915"
James Harden,Oklahoma City Thunder,"$4,004,160"
Kwame Brown,Detroit Pistons,"$4,000,000"
Brandon Bass,Orlando Magic,"$4,000,000"
Steve Blake,LA Clippers,"$4,000,000"
Rasual Butler,LA Clippers,"$3,945,000"
Amir Johnson,Toronto Raptors,"$3,941,667"
Brandon Roy,Portland Trail Blazers,"$3,910,816"
Ryan Gomes,Minnesota Timberwolves,"$3,892,500"
DeShawn Stevenson,Dallas Mavericks,"$3,883,929"
Mike Conley,Memphis Grizzlies,"$3,883,800"
Kurt Thomas,Milwaukee Bucks,"$3,800,000"
Roger Mason Jr.,San Antonio Spurs,"$3,780,000"
Russell Westbrook,Oklahoma City Thunder,"$3,755,640"
CJ Miles,Utah Jazz,"$3,700,000"
Steven Hunter,Memphis Grizzlies,"$3,696,000"
Willie Green,Philadelphia 76ers,"$3,682,000"
Ramon Sessions,Minnesota Timberwolves,"$3,670,667"
Chris Andersen,Denver Nuggets,"$3,650,000"
Damien Wilkins,Minnesota Timberwolves,"$3,630,000"
Tyreke Evans,Sacramento Kings,"$3,610,080"
Charlie Bell,Milwaukee Bucks,"$3,602,960"
Travis Outlaw,LA Clippers,"$3,600,000"
Randy Foye,Washington Wizards,"$3,575,761"
Keyon Dooling,New Jersey Nets,"$3,564,000"
Jeff Green,Oklahoma City Thunder,"$3,516,960"
Carlos Delfino,Milwaukee Bucks,"$3,500,000"
Brian Cook,Houston Rockets,"$3,500,000"
Brian Scalabrine,Boston Celtics,"$3,413,793"
Kevin Love,Minnesota Timberwolves,"$3,401,040"
Marc Gasol,Memphis Grizzlies,"$3,333,333"
Luis Scola,Houston Rockets,"$3,284,667"
Rudy Gay,Memphis Grizzlies,"$3,280,997"
Matt Bonner,San Antonio Spurs,"$3,256,500"
Yi Jianlian,New Jersey Nets,"$3,194,400"
Kelenna Azubuike,Golden State Warriors,"$3,100,000"
Danilo Gallinari,New York Knicks,"$3,089,040"
Glen Davis,Boston Celtics,"$3,000,004"
Jamario Moon,Cleveland Cavaliers,"$3,000,000"
Eduardo Najera,Dallas Mavericks,"$3,000,000"
Carl Landry,Sacramento Kings,"$3,000,000"
Hakim Warrick,Chicago Bulls,"$3,000,000"
Andray Blatche,Washington Wizards,"$3,000,000"
Grant Hill,Phoenix Suns,"$3,000,000"
Chris Wilcox,Detroit Pistons,"$3,000,000"
Jonny Flynn,Minnesota Timberwolves,"$2,969,280"
Corey Brewer,Minnesota Timberwolves,"$2,916,120"
Kris Humphries,New Jersey Nets,"$2,900,000"
Dorell Wright,Miami Heat,"$2,887,165"
Eddie House,New York Knicks,"$2,862,000"
Mark Madsen,Minnesota Timberwolves,"$2,840,000"
JJ Redick,Orlando Magic,"$2,839,408"
Eric Gordon,LA Clippers,"$2,819,880"
Hilton Armstrong,Houston Rockets,"$2,801,198"
Earl Watson,Indiana Pacers,"$2,800,000"
Thabo Sefolosha,Oklahoma City Thunder,"$2,759,628"
Ronnie Brewer,Memphis Grizzlies,"$2,717,161"
Stephen Curry,Golden State Warriors,"$2,710,560"
Brandan Wright,Houston Rockets,"$2,671,440"
Anthony Parker,Cleveland Cavaliers,"$2,644,231"
Joe Alexander,Chicago Bulls,"$2,583,360"
Maurice Evans,Atlanta Hawks,"$2,500,000"
Sebastian Telfair,Cleveland Cavaliers,"$2,500,000"
Dahntay Jones,Indiana Pacers,"$2,500,000"
Tony Allen,Boston Celtics,"$2,500,000"
Michael Finley,Boston Celtics,"$2,500,000"
Jordan Hill,Houston Rockets,"$2,483,280"
Joakim Noah,Chicago Bulls,"$2,455,680"
Shawne Williams,Minnesota Timberwolves,"$2,416,067"
Ricky Davis,LA Clippers,"$2,400,000"
D.J. Augustin,Charlotte Bobcats,"$2,374,680"
Spencer Hawes,Sacramento Kings,"$2,332,800"
David Andersen,Houston Rockets,"$2,314,815"
Craig Smith,LA Clippers,"$2,300,000"
DeMar DeRozan,Toronto Raptors,"$2,282,640"
Brook Lopez,New Jersey Nets,"$2,255,880"
Acie Law,Chicago Bulls,"$2,216,160"
Ryan Hollins,Minnesota Timberwolves,"$2,183,333"
Brandon Jennings,Milwaukee Bucks,"$2,168,520"
Chuck Hayes,Houston Rockets,"$2,147,750"
Jerryd Bayless,Portland Trail Blazers,"$2,143,080"
Renaldo Balkman,Denver Nuggets,"$2,112,417"
Thaddeus Young,Philadelphia 76ers,"$2,105,400"
Ersan Ilyasova,Milwaukee Bucks,"$2,100,000"
Rajon Rondo,Boston Celtics,"$2,094,923"
Anthony Johnson,Orlando Magic,"$2,062,800"
Jarvis Hayes,New Jersey Nets,"$2,062,800"
Brent Barry,Houston Rockets,"$2,062,800"
Terrence Williams,New Jersey Nets,"$2,060,040"
Josh Boone,New Jersey Nets,"$2,056,968"
Jason Thompson,Sacramento Kings,"$2,035,920"
Kyle Lowry,Houston Rockets,"$2,034,996"
Julian Wright,New Orleans Hornets,"$2,000,040"
Jannero Pargo,Chicago Bulls,"$1,990,000"
Ronald Murray,Chicago Bulls,"$1,990,000"
Rasho Nesterovic,Toronto Raptors,"$1,990,000"
Fabricio Oberto,Washington Wizards,"$1,990,000"
Marquis Daniels,Boston Celtics,"$1,990,000"
Shannon Brown,Los Angeles Lakers,"$1,990,000"
Channing Frye,Phoenix Suns,"$1,990,000"
Gerald Henderson,Charlotte Bobcats,"$1,957,080"
Jordan Farmar,Los Angeles Lakers,"$1,947,240"
Al Thornton,Washington Wizards,"$1,900,200"
Mardy Collins,LA Clippers,"$1,867,742"
Tyler Hansbrough,Indiana Pacers,"$1,859,160"
Anthony Randolph,Golden State Warriors,"$1,837,560"
Goran Dragic,Phoenix Suns,"$1,836,000"
Rodney Stuckey,Detroit Pistons,"$1,805,040"
Antoine Wright,Toronto Raptors,"$1,800,000"
Earl Clark,Phoenix Suns,"$1,766,280"
Robin Lopez,Phoenix Suns,"$1,745,520"
Nick Young,Washington Wizards,"$1,714,800"
Francisco Elson,Philadelphia 76ers,"$1,700,000"
Austin Daye,Detroit Pistons,"$1,677,840"
Marreese Speights,Philadelphia 76ers,"$1,658,280"
J.J. Barea,Dallas Mavericks,"$1,657,500"
Sean Williams,New Jersey Nets,"$1,629,120"
Hamed Ehaddadi,Memphis Grizzlies,"$1,627,779"
Solomon Jones,Indiana Pacers,"$1,620,000"
Matt Barnes,Orlando Magic,"$1,600,000"
Devean George,Golden State Warriors,"$1,600,000"
James Johnson,Chicago Bulls,"$1,594,080"
Roy Hibbert,Indiana Pacers,"$1,575,360"
Marco Belinelli,Toronto Raptors,"$1,547,640"
Oleksiy Pecherov,Minnesota Timberwolves,"$1,547,640"
