PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Name,Salary
977,2009-10,00,1610612747,LAL,31.0,73,73,2835.0,716,1569,0.456,99,301,0.329,439,541,0.811,78,313,391,365,113,20,233,187,1970,Kobe Bryant,"$23,034,375"
979,2009-10,00,1610612748,MIA,31.0,70,70,1991.0,394,745,0.529,0,2,0.0,162,225,0.72,124,362,486,92,25,95,125,212,950,Jermaine O'Neal,"$23,016,000"
1495,2009-10,00,1610612759,SAS,34.0,78,77,2438.0,561,1082,0.518,2,11,0.182,271,374,0.725,221,567,788,246,45,117,140,152,1395,Tim Duncan,"$22,183,220"
406,2009-10,00,1610612739,CLE,38.0,53,53,1240.0,262,463,0.566,0,1,0.0,112,226,0.496,93,262,355,80,15,62,105,169,636,Shaquille O'Neal,"$21,000,000"
1717,2009-10,00,1610612742,DAL,32.0,81,80,3039.0,720,1496,0.481,51,121,0.421,536,586,0.915,80,540,620,218,70,79,149,208,2027,Dirk Nowitzki,"$19,795,714"
1718,2009-10,00,1610612738,BOS,32.0,71,71,2411.0,409,867,0.472,109,263,0.414,369,433,0.852,39,271,310,218,84,31,166,196,1296,Paul Pierce,"$19,795,712"
951,2009-10,00,1610612738,BOS,34.0,80,80,2819.0,464,973,0.477,145,399,0.363,231,253,0.913,45,208,253,210,64,25,129,182,1304,Ray Allen,"$18,776,860"
1740,2009-10,00,1610612753,ORL,30.0,72,72,2369.0,350,805,0.435,168,423,0.397,145,180,0.806,62,256,318,107,78,28,108,180,1013,Rashard Lewis,"$18,010,791"
2072,2009-10,00,1610612749,MIL,30.0,18,12,492.0,75,213,0.352,18,60,0.3,47,66,0.712,11,43,54,39,19,2,15,24,215,Michael Redd,"$17,040,000"
2200,2009-10,00,1610612747,LAL,29.0,65,65,2403.0,452,844,0.536,0,5,0.0,286,362,0.79,243,491,734,218,37,113,143,152,1190,Pau Gasol,"$16,452,000"
1905,2009-10,00,1610612762,UTA,29.0,58,35,1681.0,244,482,0.506,26,89,0.292,174,234,0.744,76,188,264,158,83,71,79,102,688,Andrei Kirilenko,"$16,452,000"
708,2009-10,00,1610612738,BOS,34.0,69,69,2060.0,402,772,0.521,1,5,0.2,185,221,0.837,78,428,506,185,68,57,101,170,990,Kevin Garnett,"$16,417,044"
2405,2009-10,00,1610612756,PHX,27.0,82,82,2838.0,704,1264,0.557,1,6,0.167,487,632,0.771,230,502,732,82,52,83,213,281,1896,Amar'e Stoudemire,"$16,378,325"
2240,2009-10,00,1610612764,WAS,28.0,32,32,1169.0,253,616,0.411,63,181,0.348,153,207,0.739,17,116,133,230,41,9,117,95,722,Gilbert Arenas,"$16,192,080"
1713,2009-10,00,1610612753,ORL,33.0,75,74,2310.0,434,1015,0.428,119,324,0.367,257,306,0.84,33,260,293,236,53,18,106,189,1244,Vince Carter,"$16,123,250"
2216,2009-10,00,1610612763,MEM,28.0,81,81,3051.0,652,1336,0.488,15,52,0.288,362,465,0.778,330,620,950,149,80,34,174,226,1681,Zach Randolph,"$16,000,000"
2030,2009-10,00,1610612743,DEN,32.0,58,58,1986.0,283,620,0.456,8,29,0.276,93,167,0.557,142,404,546,109,72,61,91,186,667,Kenyon Martin,"$15,852,511"
2548,2009-10,00,1610612748,MIA,28.0,77,77,2792.0,719,1511,0.476,73,243,0.3,534,702,0.761,107,266,373,501,142,82,252,181,2045,Dwyane Wade,"$15,779,912"
2547,2009-10,00,1610612761,TOR,26.0,70,70,2526.0,600,1158,0.518,8,22,0.364,470,590,0.797,205,554,759,166,43,68,169,170,1678,Chris Bosh,"$15,779,912"
2546,2009-10,00,1610612743,DEN,26.0,69,69,2634.0,688,1502,0.458,59,187,0.316,508,612,0.83,152,302,454,222,88,30,209,225,1943,Carmelo Anthony,"$15,779,912"
2544,2009-10,00,1610612739,CLE,25.0,76,76,2966.0,768,1528,0.503,129,387,0.333,593,773,0.767,71,483,554,651,125,77,261,119,2258,LeBron James,"$15,779,912"
