PLAYER_ID,Name,HEIGHT,WEIGHT,POSITION,SEASON_EXP,DRAFT_NUMBER,SEASON_ID,TEAM_ABBREVIATION_y,GP,GS/G,MIN/G,REB/G,AST/G,STL/G,BLK/G,TOV/G,PTS/G,Salary
708,Kevin Garnett,210.82,240.0,Forward,7,5,2002-03,MIN,82,1.0,40.51,13.44,6.04,1.38,1.57,2.79,22.96,25.2
406,Shaquille O'Neal,215.9,325.0,Center,10,1,2002-03,LAL,67,0.99,37.84,11.07,3.07,0.57,2.37,2.93,27.48,23.57
431,Shawn Kemp,208.28,280.0,Forward,13,17,2002-03,ORL,79,0.7,20.63,5.71,0.7,0.84,0.42,1.29,6.8,21.5
436,Juwan Howard,205.74,250.0,Forward,8,5,2002-03,DEN,77,1.0,35.45,7.6,3.04,1.0,0.35,2.45,18.42,20.62
937,Scottie Pippen,203.2,228.0,Forward-Guard,15,5,2002-03,POR,64,0.91,29.86,4.34,4.45,1.64,0.39,2.56,10.77,19.73
252,Karl Malone,205.74,259.0,Forward,17,13,2002-03,UTA,81,1.0,36.25,7.75,4.68,1.68,0.38,2.59,20.58,19.25
87,Dikembe Mutombo,218.44,260.0,Center,11,4,2002-03,NJN,24,0.67,21.46,6.38,0.79,0.17,1.54,1.42,5.75,16.1
757,Damon Stoudamire,177.8,171.0,Guard,7,7,2002-03,POR,59,0.46,22.27,2.63,3.46,0.66,0.1,1.39,6.93,13.5
952,Antoine Walker,205.74,245.0,Forward,6,6,2002-03,BOS,78,1.0,41.47,7.22,4.78,1.49,0.4,3.33,20.13,12.38
949,Shareef Abdur-Rahim,205.74,245.0,Forward,6,3,2002-03,ATL,81,1.0,38.11,8.36,2.99,1.07,0.47,2.62,19.85,12.38
947,Allen Iverson,182.88,165.0,Guard,6,1,2002-03,PHI,82,1.0,42.49,4.2,5.54,2.74,0.16,3.49,27.59,12.38
84,Latrell Sprewell,195.58,195.0,Guard,10,24,2002-03,NYK,74,0.99,38.62,3.85,4.49,1.38,0.3,2.32,16.42,12.38
452,Vin Baker,210.82,240.0,Forward,9,8,2002-03,BOS,52,0.17,18.12,3.81,0.56,0.42,0.58,1.17,5.19,12.38
980,Zydrunas Ilgauskas,220.98,260.0,Center,5,20,2002-03,CLE,81,1.0,30.02,7.54,1.57,0.69,1.88,2.59,17.16,12.38
977,Kobe Bryant,198.12,212.0,Forward-Guard,6,13,2002-03,LAL,82,1.0,41.51,6.88,5.87,2.21,0.82,3.51,30.01,12.38
950,Stephon Marbury,187.96,205.0,Guard,6,4,2002-03,PHX,81,1.0,40.0,3.25,8.07,1.33,0.25,3.25,22.3,12.38
1503,Tracy McGrady,203.2,225.0,Forward-Guard,5,9,2002-03,ORL,75,0.99,39.39,6.51,5.48,1.65,0.79,2.6,32.09,12.07
1495,Tim Duncan,210.82,250.0,Forward-Center,5,1,2002-03,SAS,81,1.0,39.27,12.88,3.9,0.68,2.93,3.06,23.26,12.07
147,Jalen Rose,203.2,215.0,Forward-Guard,8,13,2002-03,CHI,82,1.0,40.89,4.28,4.82,0.88,0.28,3.48,22.15,12.07
1496,Keith Van Horn,208.28,245.0,Forward,5,2,2002-03,PHI,74,0.99,31.64,7.08,1.26,0.85,0.41,2.03,15.89,12.07
255,Grant Hill,203.2,225.0,Forward,8,3,2002-03,ORL,29,1.0,29.0,7.1,4.21,0.97,0.45,2.9,14.52,12.07
397,Reggie Miller,200.66,195.0,Guard,15,11,2002-03,IND,70,1.0,30.24,2.46,2.43,0.89,0.06,0.94,12.6,12.05
714,Michael Finley,200.66,225.0,Forward-Guard,7,21,2002-03,DAL,69,1.0,38.29,5.83,2.97,1.1,0.3,1.65,19.29,11.95
124,Vlade Divac,215.9,260.0,Center,13,26,2002-03,SAC,80,1.0,29.8,7.18,3.42,1.04,1.31,1.9,9.94,11.25
224,Eddie Jones,198.12,200.0,Forward-Guard,8,10,2002-03,MIA,47,1.0,38.04,4.81,3.68,1.36,0.66,1.81,18.49,11.2
258,Brian Grant,205.74,254.0,Forward-Center,8,8,2002-03,MIA,82,1.0,32.21,10.21,1.27,0.77,0.57,1.57,10.32,11.12
339,Tom Gugliotta,208.28,250.0,Forward,10,6,2002-03,PHX,27,0.41,16.48,3.7,1.15,0.52,0.19,1.15,4.78,10.89
1501,Tim Thomas,208.28,240.0,Forward,5,7,2002-03,MIL,80,0.88,29.5,4.86,1.27,0.88,0.61,1.66,13.32,10.75
1713,Vince Carter,198.12,220.0,Forward-Guard,4,5,2002-03,TOR,43,0.98,34.19,4.37,3.33,1.12,0.95,1.72,20.56,10.62
764,David Robinson,215.9,250.0,Center,13,1,2002-03,SAS,64,1.0,26.12,7.94,0.95,0.81,1.73,1.3,8.53,10.5
89,Nick Van Exel,185.42,190.0,Guard,9,37,2002-03,DAL,73,0.01,27.75,2.85,4.27,0.58,0.05,1.68,12.49,10.0
299,Glenn Robinson,200.66,240.0,Forward,8,1,2002-03,ATL,69,0.99,37.55,6.62,2.97,1.32,0.38,3.59,20.81,9.86
689,Theo Ratliff,208.28,235.0,Center,7,18,2002-03,ATL,81,1.0,31.09,7.49,0.9,0.69,3.23,1.69,8.72,9.38
467,Jason Kidd,193.04,210.0,Guard,8,2,2002-03,NJN,80,1.0,37.36,6.3,8.89,2.24,0.31,3.7,18.69,9.26
304,John Stockton,185.42,175.0,Guard,18,16,2002-03,UTA,82,1.0,27.72,2.45,7.67,1.67,0.2,2.22,10.78,9.0
361,Clifford Robinson,208.28,245.0,Forward-Center,13,36,2002-03,DET,81,0.85,34.88,3.93,3.31,1.07,1.09,1.95,12.25,8.42
389,Toni Kukoc,210.82,235.0,Forward,9,29,2002-03,MIL,63,0.0,27.02,4.22,3.65,1.29,0.46,1.94,11.59,8.05
905,Dale Davis,210.82,252.0,Forward-Center,11,13,2002-03,POR,78,1.0,29.24,7.23,1.21,0.65,0.9,0.91,7.42,8.0
469,Jamal Mashburn,203.2,247.0,Forward,9,4,2002-03,NOH,82,0.99,40.56,6.07,5.63,1.01,0.21,2.8,21.61,7.75
1507,Derek Anderson,195.58,195.0,Guard,5,13,2002-03,POR,76,1.0,33.61,3.47,4.28,1.18,0.21,1.68,13.91,7.14
923,Donyell Marshall,205.74,245.0,Forward,8,4,2002-03,CHI,78,0.68,30.46,8.96,1.76,1.22,1.09,1.73,13.36,7.14
673,Alan Henderson,205.74,240.0,Forward-Center,7,16,2002-03,ATL,82,0.04,18.22,4.85,0.5,0.4,0.39,0.74,4.8,7.09
136,P.J. Brown,210.82,239.0,Forward-Center,9,29,2002-03,NOH,78,1.0,33.54,8.99,1.88,0.86,1.03,1.26,10.67,7.04
445,Wesley Person,198.12,200.0,Forward-Guard,8,23,2002-03,MEM,66,0.67,29.38,2.91,1.7,0.64,0.29,0.85,11.02,7.0
979,Jermaine O'Neal,210.82,255.0,Forward-Center,6,17,2002-03,IND,77,0.99,37.18,10.34,2.01,0.86,2.31,2.34,20.78,6.95
956,Erick Dampier,210.82,265.0,Center,6,10,2002-03,GSW,82,1.0,24.11,6.62,0.71,0.33,1.88,1.37,8.21,6.86
948,Marcus Camby,210.82,240.0,Forward-Center,6,2,2002-03,DEN,29,0.31,21.24,7.17,1.62,0.69,1.38,0.93,7.62,6.75
1509,Kelvin Cato,210.82,275.0,Center,5,15,2002-03,HOU,73,0.07,17.15,5.86,0.27,0.52,1.16,0.77,4.55,6.7
1000,Shandon Anderson,198.12,215.0,Forward-Guard,6,54,2002-03,NYK,82,0.11,21.09,3.1,1.06,0.89,0.24,1.39,8.38,6.1
1709,Michael Olowokandi,213.36,270.0,Center,4,1,2002-03,LAC,36,1.0,38.06,9.11,1.31,0.5,2.19,2.72,12.25,6.06
953,Lorenzen Wright,210.82,255.0,Forward-Center,6,7,2002-03,MEM,70,0.7,28.34,7.54,1.14,0.73,0.77,1.57,11.39,6.05
711,Jerry Stackhouse,198.12,218.0,Forward,7,3,2002-03,WAS,70,1.0,39.26,3.69,4.51,0.93,0.4,2.76,21.54,6.0
